ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,additional_information
1,0,0,1,"Research activity in Agronomy, Food, Natural Resources, Animals and Environment "
0,1,0,1,"The main purpose of the research is to determine the optimal slot combination that leads to minimize additional losses and, therefore, to maximize the efficiency, while also optimizing the machine behaviour in terms of noise and vibration performance"
0,0,0,0,Construction of bathrooms and a drinking water system
0,0,0,0,"FASE contributes to the financing of the education sector at the national level of about 20 . It has proved to be a key instrument for the realization of the priority activities identified by the Strategic Plan for Education 2012-2016, now extended to 2019"
0,0,0,0,THE PROGRAMME AIM IS TO SUPPORT THE RURAL DEVELOPMENT IN THE DISTRICTS BY THE IMPROVEMENT OF THE COMMERCIAL AGRICULTURE AND THE ECONOMIC LOCAL DEVELOPMENT
0,0,0,0,"The project aims to the goal of improving lives of young disabled women and men, focusing on professional education, access to work opportunities and trying to guarantee inclusive and courses using low cost and low-tech assisted technologies. Professional Training Centres workers will be trained to new technologies too, in order to ensure accessibility to the courses for people with all types of disabilities and 30 scholarships will be awarded, 60% of them dedicated to disabled girls"
1,0,0,1,"The project will bring first emergency humanitarian support to the Mozambican populations of the provinces of Sofala, Manica and Zambezia affected by the IDAI cyclone of  14/03/2019 which claimed around 500,000 victims. In order to achieve health and Well-being and to improve life conditions of 1250 families, some activities of purchasing and distribution of sanitation kits and first emergency family kits are planned. "
1,0,0,1,"Improve the life of communities in the Province of Sofala, through the implementation of a Multisectoral and Integrated Program that promotes development initiatives and strengthens managerial autonomy local authorities towards a sustainable management of the proposed activities."
0,0,0,0,Promoting an integrated agricultural development and strengthening a nutritional education 
0,0,0,0,"The action aims at creating innovative procedures and capitalizing best practices of the current health and nutrition services. The project is alligned with the National Strategic Plan of Public Health (PESS), by supporting the decentralization of the health and nutrition services. The activities include the set-up and coordination of mobile clinics (Brigadas Moveis) and the definition of guidelines at national level for the organization of outreach activities."
0,0,0,0,"A study for the integrated territorial development of the regions Boane, Moamba and Namaacha, with Matola and the ""Maputo corridor” towards South Africa; with Università Mondlane and AICS Maputo."
0,0,0,0,The setting up pf a cluster fund for technical assistance to local partners allows AICS Yangon to manage development cooperation activities in support of the overall development of Myanmar in an efficient and transparent way.
1,1,0,2,The purpose of the action is to introduce sustainable urban mobility strategies and good practises aimed at contributing to durable solutions in the city of Yangon supported by appropriate technologies
0,0,0,0,TO RELIEVE MYANMAR DEBT BURDEN AND PROMOTE SOCIAL ECONOMIC DEVELOPMENT
0,0,0,0,"Training of 150 farmers; Promotion of alternative crops; Training of women on the cultivation of soy and moringa, processing of agricultural products as well as health and nutrition education."
0,0,0,0,"Construction of toilets in several villages in the Karen, Shan, Mon, Koyah and Rakhine states, Myanmar"
1,0,0,1,"Implementation of technical and technological training courses in the field of agriculture aimed at 10 villages in the Kalay area. The project includes agro-forestry training, management of a nursery, management of a river basin, management of a vineyard, management of a coffee plantation, management of a small business, construction of terraces, installation of systems for irrigation, supply of seeds for plantations."
1,0,0,1,"Establishment of water supply schemes in Sapukhane; Creation of a Water Systems Management Committee; Awareness campaign on hygene; Creation of groups of shepherds and identification of pastureland for livestock breeding; Acquisition and distribution of chauri; long-term sustainability management of pastureland; training to improve farming practices, on quality and healthy dairy products production, livestock insurance and health care; business plan for breeders; commercialization of dairy products."
1,0,0,1,"Infrastructure development; construction of water systems (152 water points, 13 water tanks, etc.); local institutionalization and enabling (16 workshops and 3 management committees)"
1,0,0,1,Drilling of a well and construction of a building for the pump and of a aqueduct
0,0,0,0,Research activity in Pharmacy
0,0,0,0,Generating income by supporting women through tutoring in agriculture in the creation of businesses in the marketing of cultivated products in the creation of certified brands in assisting the legal administrative management of a cooperative.
1,1,0,2,Implementation of activities to improve the quality of a school's education using the theme of environmental protection and healthy food as a tool for educational mediation and aggregation.
0,0,0,0,"The Initiative contribute to ensuring the right to healthy, quality food sourced from local fair and sustainable supply chains, promoting the employment of vulnerable women and young people, in the urban population of Niamey and the rural departments of Say and Tillabéri in Niger. Specifically, productivity, quality and nutritional value of milk and honey products have improved and adjusted to local consumption. Breeders and beekeepers' organizations will be structured and strengthened at the technical, organizational and monitoring levels of the sustainability of supply chains with a focus on the dignity of work, women's empowerment and the inclusion of young people. The project supports a distribution and trade system promoted by local institutions and structured for the procurement of healthy, fair and quality products between urban and rural areas"
1,1,0,2,"The overall objective of the project is to improve the living conditions of the local population by promoting education to respect the environment by reducing the impact of Niamey's plastics waste, bringing the current quantity into a sample neighborhood, from 18 without intervention at 28, on an annual basis, with intervention, on an annual basis."
1,0,1,2,Building of a small-scale drinking water  stocking site and distribution system
1,0,0,1,"Establishing  new vegetable gardens, agronomic training for the women involved"
0,0,0,0,"Creation of a solidarity-based agricultural cooperative whose earnings will help the community to meet its daily needs, with the aim of improving the productivity of the lands, especially the cultivation of tubers, marketing the products both locally and internationally, enhancing the technical, organizational and managerial level of the farmers, guaranteeing sufficient food and offering an employment outlet. Basic training courses are planned for the first year and advanced in the following years by surveyors and professional engineers and intended for the training of 30 young people in the area."
0,0,0,0,"The initiative supports the National Demographic Strategy (NPS) of Egypt to reduce the fertility rate from 3.5 to 3.2 (which corresponds to a decrease in the population growth rate from 2.4 to 2.2 by 2030), aimed at restoring the balance between economic growth rates on the one hand and population growth on the other"
0,0,0,0,"The project intends to relaunch the Barcelona Process starting from a strategic partnership among cities, in order to transform the Mediterranean into a common space of peace and prosperity. The project aims to reinforce the capacities of the Tunisian, Moroccan local authorities and civil society in the urban, economic and inclusive development."
0,0,0,0,The initiative aims at supporting the action of the AICS Office in Islamabad in ensuring an effective and efficient management and monitoring of the programs funded by the Italian Development Cooperation as grants and soft loans in Pakistan. The initiative will contribute to promote an adeguate visibility of the on-going programs and to strengthen their impact on the beneficiaries.
1,0,0,1,The project involves the construction of artesian wells and vegetable gardens in the community Palma del Sol. The objective is to improve the living conditions of 80 families living on the banks of the Paraguay River and suffering because of seasonal weather.
0,0,0,0,Construction of a well
0,0,0,0,"The project includes daily training courses for 200 families in avocado cultivation, in order to prevent pests and diseases, improve the fruit conservation practice, improve the conditions of sale of the products by increasing controls and increasing quality. Each family will be assigned 110 hectares of land for the cultivation of avocado plant."
1,0,0,1,"Construction of six greenhouses to start cultivation of products that would otherwise not be cultivable in the present climatic conditions, construction of a house for workers used as a material storage, processing of products and dormitory for young people involved in the project. Young people will be accompanied through training and practical experience for cultivation and entrepreneurship processes. The project aims to support the life of the local community through the development of an agricultural activity, whose products can contribute to the improvement of the conditions of well-being and child nutrition of many families living in evident poverty."
1,0,0,1,"Improve access to drinking water for the population of 15 communities. The aim is to make access to drinking water possible for a total population of around 1900 people and to respond to the problem of infections generated by the use of contaminated water. The project involves the drilling and rehabilitation of wells in the villages indicated by the project, the construction of underground structures to ensure the supply of water throughout the year, through an underground collection system at a depth of over 50 meters."
0,0,0,0,"The project knows and closely assists cases of physical and verbal violence against HIV-positive adult women who participate in the activities of the Hogar San Camilo in Lima, with the aim of helping them achieve adequate mental health.Within the project, the psychological area monitors women's difficulties and, together with the legal advice area, looks for the most effective solution for each beneficiary. Their families are involved in the interventions, so that there is a better understanding and they can find harmony in their own homes."
0,0,0,0,The project aims to support local authorities for the development of a child-friendly urban plan. For doing that training and technical support on prevention and treatment of family violence will be done with public authorities and service operators. A training program for family promoters through the social theater and a plan for internal distribution of spaces will be implemented in the most vulnerable houses. The project will involve the private sector in order to sensitize them on violence. 
0,0,0,0,"Italian Contribution to the IILA for the project ""Technical Assistance and Training to the Peruvian Army in Humanitarian Demining Activities"".
"
0,0,1,1,"
Construction of schools and latrinine and washroomy blocks."
0,0,0,0,Improving the quality of health services at the hospital Mibirisi; promote a culture of integration of disabled people at the center of Nkanka; provide hospitality and livelihood of widows and orphans of Mwezi.
1,0,0,1,"Reduction of food insecurity and malnutrition in the areas of intervention, supporting the start-up and strengthening of agricultural activities at a domestic level with eco-sustainable methods and the marketing of the relative products in the context of formal and informal cooperative experiences."
1,0,0,1,Water purification system powered by a photovoltaic panel
0,0,0,0,Creation of a mechanical workshop for the construction of infrastructure for cattle breeding in Senegal
1,0,0,1,"The project faces the critical aspects of the senegales rural context, such as the massive and early school leaving.It aims to improve the life conditions of families, women's promotion groups and economic interest groups which involve many young people. The main actions to be carried out are: the construction of solar-powered hydraulic systems to provide always water; the preparation of fences to prevent growing vegetables from aggression by animals, the construction of a female students campus. "
0,0,0,0,"This project aims at improving life conditions in rural areas and at slowing emigration and rural exodus. An efficient logistics network for the resale of products both in the local and international market will be developed. The consumption of fresh products of certain origin will increase and locally stable and professional work will be created. The project also aims to guarantee employment and income to rural populations, especially women and young people."
0,0,0,0,"In a country facing a huge educational catastrophe, where among children, only 50% of are able to read and do mathematical calculations, this project aims to intervene supporting children starting at an early age, from 3 years onwards, promoting the culture of reading and the development of creativity through reading workshops, pedagogical theatre and learning activities and playing. The goal will be pursued through a special learning methodology which is not purely scholastic. "
0,0,0,0,"Through the street union's own methodology of awareness-raising, unionisation and assistance, the project addresses two main issues: 1) decent work in new global agricultural sectors and 2) migrant workers and returning migrants rights. It aims to provide information and training on health and safety in the workplace, bargaining and social dialogue through unionisation campaigns. The final goal is to improve working conditions and to achieve an inclusive economic growth."
0,0,0,0,"Promoting the development of Senegalese enterprises in the rural environment with a series of inputs and services, targeted to involve return migrants."
0,0,0,0,"Support and satisfaction of basic needs, social and relational support, basic and professional training"
1,0,0,1,"The project involves the construction of a well with a depth of 180 meters, to offer drinking water to the population of Bandia, in the Diocese of Dakarche, which will finally be able to use drinking water, avoiding inhabitants to travel long distances with heavy loads on their shoulders."
1,0,0,1,"The objective of the project is to reduce poverty and the root causes of irregular migration through support for the rural economy in the Louga, Saint Louis and Thiès regions, the creation of jobs in the peasant agriculture sector, giving priority to young people and
women and social and ""green"" initiatives, improving access to credit for rural micro businesses and defining the characteristics of social enterprises and enhancing their contribution to the economic, social and cultural development of the territory"
1,1,0,2,Support to the Government of Vojvodina for increasing energy efficiency in public buildings
0,0,0,0,"The project aims to developing a system for easy and accurate monitoring of gas in meat products during storage and distribution and to offer an in-service training, where professionals and researchers learn together with the aim of enhancing Safety&Quality of meat products."
0,0,0,0,"Livestock farming is a very demanding business activity, requiring excellent technical and managerial skills, making of livestock farmers real entrepreneurs. The project is aimed at improving professional education on managing livestock farming activities, with specific focus on nutrition and feeding"
0,0,0,0,The program will contribute to maternal and neonatal mortality reduction by strengthening national capacities to deliver highquality comprehensive maternal health services.
0,0,0,0,The central role of SIF is that of contribute to the realization of infrastructure in order to develop the sector's institution capacity of regional governance and federal governance
0,0,0,0,"UNIDO - Somalia Country Program 2017-2019 aims at increasing the potential for economic opportunities and job creation in the productive sectors of the Central and Southern regions of the Somalia by focusing on four key actions: 1-promotion of agro-technology upgrading and entrepreneurship development; 2- delivery of vocational and technical skill trainings in trades providing support services; 3- facilitate access to technology, markets and finance; 4- provide institutional support in the area of agro-industrial technology transfer, investment promotion, entrepreneurship development."
0,0,0,0,"The specific objectives of the project are: to make available to the authorities and the Somali population, as well as to scholars in general, information that goes from the most relevant bibliographic indications to the availability of texts and documents through the creation of a multimedia, articulate and easy to consulatate archive."
0,0,0,0,"MAINTAINING OF THE COORDINATION, TECHNICAL ASSITANCE AND MONITORING UNIT FOR COOPERATION INITIATIVES IN SOMALIA"
1,0,0,1,"Purchase, supply, installation and implementation of 1 OFF GRID BOX module in favor of the FORLANINI civil hospital, for the production of drinking water and electricity"
0,0,0,0,"The Department of Economics, Business, Mathematics and Statistics ""Bruno De Finetti"" of the University of Trieste hosts four Somali students, selected by the Somali National University in Mogadishu. These students are attending  the MA course in “Economics of production sectors and international markets” and they will probably be appointed as teachers at the Somali National University as soon as they will be graduated."
1,0,0,1,Training course for senior civil protection officers from ASEAN  member countries with the aim to enhance the capacity of local civil protection services to respond to natural or man-made disasters
0,0,0,0,Advanced training course for 10 senior civil protection officers from the small Pacific island States
1,0,0,1,"WOSA promotes to strengthen food security by improving the quality of life of the rural population of the Juba county; it supports women through fair access to resources. Also, WOSA will increase and diversify agricultural production and introduce farming practices sustainable for the population of the district of Gumbo."
1,0,0,1,"The project envisages the equipping of a generator to deal with the electrical emergency which does not allow regular work of the activities of the Medical Center, the Family Home and the Nursery School."
0,0,0,0,"Objective of the proposed initiative is the execution of physical infrastructure and the provision of furniture and equipment to improve the health facilities at State and Locality level for the benefit of the residents and migrant populations of the Eastern Sudan States. The target of the initiative is Kassala Health Citadel and the main goal concerns the structural and functional extension and improvement of critical departments such as: General Surgical Unit, Emergency and Accidents Department and Out Patient Department. The project includes a specific component aimed at addressing sustainable and safe treatment and disposal of sanitary waste at the Kassala Health Citadel."
0,0,0,0,"The programme aims at fighting the malnutrition in Kassala State with a particular focus on under 5 children, PWL who are among the most vulnerable group exposed to stunting."
0,0,0,0,"The project is designed to contribute to the human and social development of Sudan through strengthening the capacities of the Sudanese National Museum (SNM), refreshing its exhibition and facilities, further promoting it as a cultural and educational centre of Khartoum / Omdurman / Bahri metropolitan area and of all Sudan in general."
0,0,0,0,"UNIDO - Sudan - The project builds on the results and recommendations stemming from a FAO-UNIDO jointly implemented initiative between 2011 and 2014. It aims at contributing in the improvement of livelihoods, food and nutrition security of the target population in Kassala State, especially for women and youth. By focusing on three strategic components (1. value-chain development and agriculture productivity improvement at the household level; 2. community participation in entrepreneurship development; and 3. access to finance through local microfinance institutions), the project plans to create sustainable job opportunities and foster inclusive economic growth in the project target areas. Over a time-span of 12 months, the project will benefit around 1,000 households and in particular small-scale farmers, micro-enterprises, women and young people by partnering with public institutions, local community-based organizations and the private sector."
0,0,0,0,"Sudan - The project builds on the results and recommendations stemming from a FAO-UNIDO jointly implemented initiative between 2011 and 2014. It aims at contributing in the improvement of livelihoods, food and nutrition security of the target population in Kassala State, especially for women and youth. By focusing on three strategic components (1. value-chain development and agriculture productivity improvement at the household level; 2. community participation in entrepreneurship development; and 3. access to finance through local microfinance institutions), the project plans to create sustainable job opportunities and foster inclusive economic growth in the project target areas. Over a time-span of 12 months, the project will benefit around 1,000 households and in particular small-scale farmers, micro-enterprises, women and young people by partnering with public institutions, local community-based organizations and the private sector."
0,1,0,1,"The project aims to promote civil society’s identification and implementation of concrete actions for a strong and alternative model of women and girls’ roles and rights, promoting an inclusive, empowered and competent society. The action focus on awareness raising and capacity building on gender equality and related issues (gender-sensitive projects planning/implementation, gender budgeting, GE Analysis and Planning, etc.) targeting micro, small and medium civil society organizations (CSOs) "
0,0,0,0,"Creation and training (1 month) of a group of 5 story keepers; production of materials and translations. Workshop for students, starting with 3 schools (6 weeks, repetition every 2 months for a total of 4 workshops) and possibility to extend it to other schools."
0,0,0,0,"Nourishing the Future is a multsectoral initiative tackling malnutrition during the first 1.000 days of mothers and children in Iringa and Njombe -TZ, combining interventions in agriculture, health and nutrition, with the aim of improving the health and nutritional status of communities."
1,0,0,1,"Promotion of access to water, promotion of food security and agricultural development and promotion of income-generating activities and increase the self-help capacity of recipients"
1,0,0,1,"Construction of a water system for the collection of spring water and its canalization, to provide drinking water to 4 schools in the area and, by the construction of 30 domestic fountains, to all the inhabitants of Moshono village"
0,0,0,0,"The general objective of the project is to protect the health of inhabitants of the Yovi Valley in Tanzania and, in particular, to guarantee the diagnostic service through radiology, primarily of tuberculosis but also other pathologies. In addition, the project aims to extend the possibility of access to drinking water and adequate sanitation. Important is the aspect of awareness actions and health information on the territory, with particular attention to female population, on health and maternal - child health issues. The project attaches great importance to issues such as training and improvement of skills of health personnel and aims to create a center to ensure the protection and reception of women and children as they are the most vulnerable and subject to persecution and violence, by promoting their social reintegration."
0,0,0,0,"Construction of two wells, one in the village of Isagalambizi and the other in the village of Kititu, in the Dodoma region"
1,0,0,1,Garanteeing clean and sufficient water for a School in Dodoma by drilling a well
0,0,0,0,"SANI PROJECT: integrated support for the right to water, hygiene and nutrition in Central Tanzania"
0,0,0,0,"Project for the production of food for disadvantaged children at the Camillian Social Center, Thailand"
0,0,0,0,"Strengthening of the commercial value chain of specific organic exotic fruits, in particular of the Pain de sucre pineapple, from Togo that enhance the production of farmers in respect of the values of fair trade."
0,0,0,0,"Construction of two drinking water points in two villages in Okougnohou and Findigue, Togo"
1,0,0,1,Supporting  the construction of water supply wells
0,1,0,1,"The proposed initiative aims to strengthen the enjoyment of the rights of people with disabilities and their organizations in Tunisia. Therefore the proposal intends: R1 provide community based rehabilitation programs aimed at the socio-educational inclusion of young people with disabilities, R2 strengthen the role of the Tunisian CSOs promoting rights and services for people with disabilities R3 created a public-private governance structure to promote vocational training and employment of young people with disabilities."
1,0,0,1,"The initiative aims at strengthening the local governance through the reinforcement of 31 out of the 86 municipalities recently created in 10 different governorates of Tunisia. The intervention strategy of this initiative is based on an participative approach that aims to involve the elected members and staff of the new municipalities and their citizens in determining priorities in the use of available resources. The initiative will be articulated in the following areas of intervention: i) Capacity building on investment planning and coaching on the implementation management of interventions for municipal staff and elected representatives; 
ii) Construction and equipment of municipal offices; iii) Implementation of infrastructural interventions of municipal competence, such as municipal roads, sidewalks, street lighting, rainwater drainage, etc.;
iv) Implementation of economic-commercial and socio-cultural projects. The list of interventions to be carried out in the new municipalities will be determined on the basis of the requests of the municipalities themselves, through the preparation of multi-year Investment Plans, based on the financial resources defined by the central government. The executing agency is the Fund for Lending and Subsidies of Local Authorities (CSPCL) which, under the rule of the Ministry of Local Affairs and the Environment, will conclude specific financing agreements, on an annual basis, with the concerned municipalities."
0,0,0,0,Integrated rural develpment project in the Hazoua and Tamerza delegations (Tozeur Governorate)
0,1,0,1,"The primary purpose of the project is to strengthen Government capacity to improve the quality and sustainability of the existing national school meals programme, in line with the international school feeding standards outlined in WFP's School Feeding Policy."
0,0,0,0,"The project aims at enhancing the coordination and technical capacities of the Italian cooperation partners trough AICS Tunisi. Moreover, the project is intended to strengthen the ongoing monitoring and communication/visibility activities in Tunisia, Morocco and Mauritania"
0,0,0,0,This project aims to promote innovative production processes focusing on women empowerment in a sustainable development view in both the target countries.Agro-ecology and fair trade market will allow producers to improve social empowerment especially for the most vulnerable target: women employed in agriculture who are the most precarious and with almost no rights workers in the Tunisian society. Another main goal is to exchange its experience of Italian-Moroccan network with Tunisian realities.
0,0,0,0,"The project aims to support the creation of self-employment of women and young people in order to strengthen and integrate what has already been achieved in other ongoing interventions. Five enterprises made up of young men and women will develop the chain of handicraft products (food, textiles and cosmetics) locally made and marketed under the TATAOUI brand and 15 enterprises active in agriculture, livestock breeding, and processing of agro-food products and services will be created."
0,1,0,1,"Support the Tunisian local authorities in the participatory definition and implementation of the objectives local development, with particular reference to the support of integrated local services for growth sustainable, sustainable and inclusive economy (Objective 8 SDGs 2030) and social and health services of basic (Objective 3 SDGs 2030)"
0,0,0,0,"Development of Sheep Farming as a Resilience Action of the Young Generations of Sidi Bouzid, To Fight Poverty and Migration"
0,0,1,1,Implement innovations in the business model to demonstrate the commercial feasibility of mini-grids.
1,0,1,2,Construction of the building for the physics laboratories and the solar panel well
1,0,0,1,"Water supply for south sudanese refugees in Maracha, Moyo and Adjumani - West Nile"" through the rehabilitation of 20 non-functioning water sources"
0,0,1,1,To provide funding or technical support to micro-projects promoted by local organisations
1,0,0,1,"Support for the development of community schools, with the aim of facilitating access to schooling for children in the most remote areas of the region by (a) building of classrooms, latrines and a kitchen (b) carrying out agro-forestry activities on the land of these two schools"
0,0,0,0,"Building 15 new wells in the urban areas of Koboko, Maracha, Nebbi and Zombo districts, where lots of refugees from South Sudan have settled; improving the sanitation system to adapt it to a higher number of people"
0,0,0,0,"Improvement and strengthening of management through the selection and insertion of a manager, definition of an organization development strategy, redefinition of the production methods of the farm in order to increase the production of cow's milk, strengthening of the infrastructures involved in the production processes."
1,0,0,1,Vocational training centre for restoration and conservation of cultural heritage
1,0,0,1,VIETNAM - Technical assistance to water supply projects
0,0,0,0,Support for the development of family farming in the Son Dong District
0,0,0,0,"The Humanitarian Programme aims to protect the most vulnerable Palestinians living in the Gaza Strip, Area C of the West Bank, East Jerusalem, Hebron H2, exposed to human rights and humanitarian law violations, by strengthening their preparedness as well as their capacity to respond to the recurrent crises and shocks."
0,0,0,0,The project aims to contribute to create a proper conditions for a dignified life according to the enjoiment of human rights. The initiative aims to promote a network strengthening of the essential services through the launch of Call for proposal managed by AICS Jerusalem
0,0,0,0,"The project aims at fostering inclusive and sustainable economic growth in Palestine. Through the project, therefore, we want to favor the development of an environment favorable to the birth of new start-ups and the growth of both commercial and social enterprises through: a) strengthening the incubation and acceleration processes of the enterprises (commercial and social); b) training of competent and specialized personnel, including vulnerable young people and women; c) awareness and advocacy actions towards the community and local authorities."
0,0,0,0,"Assure technical assistance to the development programs of the Headquarters. Providing a fair impact of the cooperation initiatives currently in place and in planning - n terms of effectiveness and efficiency, with a positive and significant impact on the number of beneficiaries and with particular reference to European Joint Programming exercise. Ensure adequate security measures during visits to the Gaza Strip"
1,1,0,2,"The project intends to support the improvement of waste water management in Palestine, in order to increase the availability of water resources for agricultural and industrial activities, thus reducing pressure on drinkable water quantity."
0,0,0,0,"The aim is to strengthen endogenous skills and the ability to create networks among communities of shepherds and farmers living in Area C and in the Seam Zone, in order to protect and develop community resources and livelihoods, with a particular attention to economic and social empowerment of women"
0,0,0,0,"This project aims to consolidate and disseminate practices of Social and Solidarity Economy ensuring fair, responsible and sustainable development and work opportunities for young people and women in the Bedouin and marginalized communities of the West Bank and Gaza Strip"
0,1,0,1,"The project aims to increase quality, accessibility and sustainability of the early childhood education system in West Bank, strengthening public-private partnership"
0,0,0,0,Reinforcement of the honey and officinal plants value chains for the socio-economic development of Palestine
1,1,1,3,"Promote the diffusion of renewable energy for Bethlehem by installing solar panels and providing technical assistance for vocational training, start-ups and local governance processes"
0,0,0,0,"This project aims at supporting Palestinian young people with disabilities and their families, with attention to gender issues and the promotion of full, inclusive and dignified employment. Some activities will be carried out like providing support to educational and speech therapy, promoting participation in extra-curricular activities, organizing university orientation sessions and workshops on soft skills, entrepreneurship and labour market guidance organised by the University of Bethlehem."
0,0,0,0,Support for children's right to health and universal access to pediatric health services in Palestine
0,0,0,0,"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research and other types of collaboration."
0,0,0,0,"The Italian Contribution aims to support ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen. ICRC will assist vulnerable households in maintaining their sources of food and income and support the empowerment of health-care services. With financial and technical support from the ICRC members of families separated by armed conflict, detention or migration will stay in touch through family-links and services provided by the National Society. Moreover, the ICRC will visit detainees in places of temporary and permanent detention in accordance with its standard procedures. ICRC will also work with the authorities to ensure detainees access to adequate nutrition and health care"
0,0,0,0,"Stop the Violence project (STV) was started in April 2018 to face the terrible spread of Sexual and Gender Based Violence (SGBV) in the slums of Kanyama, South-West of Lusaka. STV offers free medical, psychological and legal assistance to women and girls, victims of sexual exploitation and abuses. In 2019 a One Stop Centre was opened at Kanyama Hospital, the only public hospital of the area, where victims can find a comprehensive support. The project also includes workshops and trainings in schools and churches to prevent SGBV and increase community awareness of the services provided. "
1,0,0,1,Global Diplomacy for Energy Transition in Africa-GlobDETA
0,0,0,0,Supply of computer equipment for the Herat Provincial Police Command to ameliorate counter terrorism strategy
0,0,0,0,"The University of Pisa  promote the enrolment of international students on  degree programmes held in English for the academic year,  For this purpose,  best international students enrolled  will receive a financial contribution of Euro 1.300,00 (gross amount)."
0,0,0,0,Supply of a security camera system for the Herat Provincial Police Command - ANP (Afghan National Police) to improve counter terrorism strategy.
0,0,0,0,Supply of GPS and computer equipment to the Provincial Police Command of Farah to increase efficiency and operational scope in the context of conter terrorism activities.
0,0,0,0,"Supply of furniture and computer equipment for the Afghanistan Woman Chamber of Commerce and Industry (AWCCI), Herat branch."
0,0,0,0,"Supply of goods, to support local authorities in carrying out their institutional functions."
0,0,0,0,Supply of material and equipment for the Herat Fire Brigade Command.
1,0,0,1,"Purchase of agricultural materials and equipment for the benefit of the Department of Agriculture, Irrigation and Livestock (Farmer Kit)."
0,0,0,0,Small infrastructure maintenance works and supply of materials and goods in favor of the Police Headquarters of Guzarah to improve infrastructural efficiency and resilience in the context of conter terrorism activities 
1,0,0,1,"The initiative aims to increase the number of international students attending the PhD course in """"Agriculture, food and environmental sciences""""."
0,0,0,0,Promoting women's autonomy and freedom of movement by supporting the development of a transport service managed by women drivers and addressed to women passangers
0,0,0,0,"Working on pediatric hospitals in the provinces of Kabul and Herat, the project aims to carry out activities (capacity building, updating, upgrading, equipment, twinning with Italian structures, scientific research, etc..) aimed to reduce maternal and child vulnerability"
0,0,0,0,"The Project aims at increasing access to clean water, sanitation and adequate health education among the population, in schools and health facilities, in the provinces of Herat, Farah and Ghor and Bamyan in the Western and Central Highlands regions of Afg"
0,0,0,0,"The Project aims to improve agricultural production, productivity and marketing of small agro-producers in the two provinces of Herat and Bamyan in Afghanistan through the provision of agriculture services and inputs adopting a decentralized """"Extension sy"
0,1,1,2,This project focuses on improving urban planning through the definition of Urban Upgrade plans and supporting the construction of low-cost housing in dedicated areas.
1,0,0,1,"ICRC will focus  on providing livelihood support for vulnerable households headed by women and on supporting  the empowerment of health-care services and on improving access to water. With financial and technical assistance from the ICRC, members of famil"
0,0,0,0,The Afghanistan Reconstruction Trust Fund is a fiduciary fund administered by the World Bank. It represents the principal instrument of on-budget support for the government of Afghanistan and it receives contributions from 34 donors. All funds are channel
0,0,0,0,Provision of sanitary material and equipment for local health structures
0,0,0,0,"Video-conference presentation, held on 15 December 2020, of the Strategic Document called """"The Partnership with Africa"""", a policy document that identifies in ten points the main priorities of Italian foreign policy towards the African continent. Awareness effort for the civil society and political elite on the global challenges for African Countries and the promotion of development"
0,0,0,0,"Promoting access to justice for detainees undergoing trial in 6 prisons in Congo and Madagascar, fighting against abusive preventive detention and implementing capacity building actions for the ACATs."
0,1,0,1,"Promote rural development with a holistic approach and strengthen the agroecological sector through the creation of training workshops, supply of materials and equipment for agroecological production. "
0,0,0,0,"Specialised on line couse to train local medical staff on identification, diagnosis and management Covid-19 cases"
1,0,0,1,"Enhance the human, social and economic financial capital of migrants present in the Tuscan territory and their ability to create relationships and new development opportunities in the territories of origin, activating inclusive partnerships that provide for the contribution of entrepreneurial subjects capable of contributing to development according to a approach and practice of sustainability that can be framed in the 2030 Agenda."
0,0,0,0,"Contribution for training courses in “Respect for  human rights in Police activities”, “Frst counter-terrorism intervention rates""""  and “Protection of Cultural Heritage” in favour of the Police Forces of Burkina Faso, Guinea and Ivory Coast, strengthening local capacity building to enhance the antiterrorism know-how in Sahel countries."
0,0,0,0,"Training Courses  about """"Fight to financing of terrorism and organised crime. Economic and financial investigation techniques"""" in favour of officers of Agencies of Law Enforcement coming from Nigeria, Ivory Coast, Guinea and  Senegal."
0,0,0,0,"Italian contribution to support IGAD activities related to the implementation of the Revitalized Agreement on the Resolution of the Conflict in the Republic of South Sudan (R-ARCSS), including the integration of SSOMA (South Sudan Opposition Movements Alliance) in the CTSAMVM (Ceasefire and Transitional Security Arrangements Monitoring Mechamìnism in South Sudan)."
0,0,0,0,"The program will contribute to strengthening the operational capacities of national authorities to allow effective control of the territory and extend rule of law action to the entire Sahel by creating robust, flexible, mobile, multidisciplinary and self-sufficient police units which allow adequate control of the territory"
0,0,0,0,strengthening of the health system in Malawi
0,0,0,0,"Italian contribution to OHCHR’s support to the Joint Force of the G5 Sahel with implementation of the Human Rights And International Humanitarian Law Compliance Framework
"
1,1,0,2,The project aims to improve the living conditions of the inhabitants of the sub-urban and informal areas of Maputo by promoting sustainable and inclusive development through innovative green practices of social inclusion.
0,0,0,0,Prizes for the best researchers during the last year in Developing Countries
0,1,0,1,The initiative seeks to confirm the principles endorsed in the UN Convention on the rights of persons with disabilities. The specific objective is to promote human rights of persons with disabilities through the strengthening of the National Council for Disability
