additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
"The project plans to support the Canan community by drilling a well, building 10 family cisterns and 2 latrines.",0,0,1,1,unclear,"The project descriptions clearly includes environmentally friendly aspects such as building wells and latrines which will help in conserving water and promoting good hygiene. However, there is no clear information about its impact on the environment, thus it is marked as unclear.",2922,2019,italy,Haiti / Drilling of wells and construction of community tanks,haiti,,latin america and the caribbean,25213.42,22516.0,25213.42,Committed,Oda,adaptation,Grant,Water And Sanitation,False,True,False,False,False,False,False,False,False,False,False
"The project involves the construction of a large well and its cistern, which can at least partially solve the problem of lack of water and reduce the main cause of mortality.",1,0,0,1,yes,"The project aims to construct a water well, addressing water scarcity issues, which indirectly supports environmental sustainability.",2923,2019,italy,Haiti / Construction of well and tank,haiti,,latin america and the caribbean,20879.79,18646.0,20879.79,Committed,Oda,adaptation,Grant,Water And Sanitation,False,True,False,False,False,False,False,False,False,False,False
"The aim of the project is of increasing incomes of persons with disabilities through organic farming practices and making lasting and sustainable changes in the way participant populations including persons with disabilities do agriculture.  The project is proposed for 500 villages including 200 Gram Panchayats of five blocks of Betul, Chindwara, Hoshangabad, Khandwa & Harda districts of Madhya Pradesh. The intervention is expected to cover 36,000 rural community members including more than 12,000 persons with disabilities and their family members.",0,0,0,0,yes,"The project aims to increase incomes through organic farming practices, which is sustainable and has environmental benefits, such as reducing the use of chemical fertilizers and promoting carbon sequestration.",2924,2019,italy,India / Disability Inclusive Livelihood Initiative - Ujjawal - II,india,,asia,37177.36,33200.0,37177.36,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
Ensuring a sustainable access to drinking water and an improvement of sanitation services,1,0,0,1,yes,"The project directly addresses UN's environmental sustainability goals, specifically clean water and sanitation, making it relevant for the environment.",2925,2019,italy,"India / Sustainable Access to Water And Improvement Of Sanitation Systems And Habits In Western Ghats Remote Villages, Tamil Nadu",india,,asia,11198.0,10000.0,11198.0,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
"The project plans to improve the working conditions of the farmers by organizing them into production groups in order to deal with the damage caused by the monsoons and at the same time remedy the periods of drought in the Karnataka area. The training of farmers and farmers will focus on irrigation techniques, modern methods of cultivation, breeding, veterinary skills, skills on production, eco-friendly technologies.",1,0,0,1,yes,"Project focuses on improving working conditions of farmers, organizing them into production groups, and providing training on modern methods of cultivation and eco-friendly technologies.",2926,2019,italy,India / Alleviating the effects of drought for the living conditions of 3000 small farms in Midanahalli,india,,asia,79735.36,71205.0,79735.36,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
"The project will be carried out in the 3 regions of Pudukottai, Thiruvagangulam and Karambakudi, covering 10 villages and 50 farmers for each region. The aim is to distribute livestock to peasant women, who will also be trained to market meat and milk in order to provide them with alternative jobs and additional income.",0,0,0,0,unclear,"The project aims to distribute livestock to peasant women and train them for marketing, which will provide them with additional income. This does not involve any activities that could harm or benefit the environment, thus the project description is not clear enough to classify it.",2927,2019,italy,India / Programs to reduce poverty through the development of agricultural and dairy cooperatives,india,,asia,71622.41,63960.0,71622.41,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
Restore agriculture and fishing in the southern area which has suffered great damage from the latest floods. The project involves filling lakes and streams with ling or ling fillets; purchase of fishing equipment and fish feed; purchase of livestock (poultry and ducks).,1,0,0,1,unclear,"The project description is focused on restoring agriculture and fishing in a specific area, which has been affected by floods. The restoration includes purchasing fishing equipment, fish feed, and livestock. No explicit environmental measures are described, so it's unclear whether this project has a direct positive impact on the environment.",2928,2019,italy,India / Support and development of fishing and livestock activities after the disasters caused by the flood,india,,asia,22409.89,20012.4,22409.89,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"To build bathrooms for the families of the children whose education is supported in project PRJ_2018_01. This project is in line with the Indian Government's initiative ""SWACHH BHARAT - Clean India"" to increase the availability of basic sanitary infrastructure in the Country.",1,0,0,1,unclear,"The project increases the availability of basic sanitary infrastructure, which can have environmental benefits in the long run, but the description is not clear enough to classify it as a direct environmental project.",2929,2019,italy,India / Hygiene project,india,,asia,2021.24,1805.0,2021.24,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Empowerment programme which is aimed at  providing beneficiaries with an alternative source of income to improve their economic welfare,0,0,0,0,unclear,"The project description does not mention any environmental impact, positive or negative.",2930,2019,italy,Indonesia / Congregation Empowerment Through Pig Raising,indonesia,,asia,26483.27,23650.0,26483.27,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
Providing Catur families with a new source of income by training them in raising and processing herbs-based products—partivularly focusing on involving women,0,0,0,0,unclear,"Project focuses on providing income training for families involving women, with a focus on herbs-based products. No explicit information about environmental impact is provided.",2931,2019,italy,Indonesia / Village Development Through Medicinal Plants,indonesia,,asia,12037.85,10750.0,12037.85,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
Improving economic independece and rural development through livestock support,0,0,0,0,unclear,"Project description includes reference to rural development and livestock support, but lacks clear environmental focus",2932,2019,italy,Indonesia / Community Empowerment Through Cattle Farming,indonesia,,asia,22871.92,20425.0,22871.92,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
"The Project is complementary to what has been agreed upon by the two Governments for the vocational training component (TVET) of the Sector Budget Support of 85 million euros (soft loan), in particular with reference to technical and vocational training at post-secondary level. In fact Sector Budget Support of which the Intergovernmental Agreement signed in Amman on October 3rd, 2019, it includes among main areas of support, the establishment of a Community Technical College in Ajloun in order to contribute to the development of an advanced system of TVET that responds to the need for a qualified work force to drive growth and job creation in those sectors where Jordan can build and hold a sustainable position of competitive advantage over the medium to long term. The Community Technical College in Ajloun should constitute an advanced training center for technological innovation, beneficial to develop the necessary skills for the development of tourism and conservation of cultural heritage and landscapes in which Italy has an incomparable added value in terms of best practices, technical skills and advanced qualified competences and considering the fact that for Jordan travel and tourism have become one of the significant drivers of economic growth over the last years. Keeping this in mind, the rationale behind the Project is to contribute to the definition of a strategic plan for the development of responsible and sustainable tourism in Jordan and of the necessary needs in terms of human resources. Analyzing the current international competitive scenario and actual trends both at regional and international level, this strategic plan could have positive effects in enriching tourism in Jordan in order to increase the tourism sector's contribution to the economic, social and sustainable well-being of the country, acting on fundamental levers such as technological innovation and organizational, the ability to adapt to market transformations, the enhancement of the territorial and cultural heritage; the development of skills; favorable conditions for entrepreneurial activities. The definition of this strategic plan will allow the identification of new professional profiles and technical skills required in a wider perspective of human resources development and employment in the tourism sector by focusing on cultural heritage, cultural and creative industries, sustainable tourism and cultural infrastructure are sources of income generation and job creation, including at the community level, thus improving living conditions and fostering community-based economic growth. Specifically, the Project will also have the purpose of defining new curricula for each profile by level of competence as well as identifying the qualifications framework to allow the recognition of competences and the passage to higher levels of technical education and training. In this respect, the Project will build on the advanced qualified competences of the Politecnico di Milano in providing required technical assistance to the Jordanian partners",0,0,0,0,unclear,"Project is about vocational training for tourism and cultural heritage conservation, which can be sustainable if properly managed. But the description does not provide enough information to classify it as an environmental project.",2933,2019,italy,Jordan / Technical Assistance to Contribute to the Definition of a Strategic Development Plan for Tourism and Human Resources in Jordan,jordan,,asia,75967.23,67840.0,75967.23,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Purpose of the project is improving the preservation conditions of several archaeological areas in Madaba city through sustainable interventions and training courses addressed to the local community and to the officials of the Department of Antiquities of Jordan.,1,0,0,1,unclear,"The project aims to preserve archaeological areas and provide training, but no information about environmental impact is provided",2934,2019,italy,Jordan / Discover Madaba - A sustainable tourism project,jordan,,asia,34579.42,30880.0,34579.42,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The project intends to respond to the urgent needs of conservation in Petra and guarantee the best preservation of its monuments, including some of the works for the management of water by applying a multidisciplinary pilot methodology for the conservation of one of the most important facades carved into the rock of the site the Tomb of the Palace.",1,1,0,2,yes,"The project is about preserving the monuments in Petra, including water management and conservation of a carved rock facade.",2935,2019,italy,Jordan / Preserving the cultural heritage and creating job opportunity for youth: feasibility study of the RoyalTombs water management system and conservation,jordan,,asia,447920.0,400000.0,447920.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The overall objective of this project is to improve the housing conditions of the most vulnerable Palestinians refugees living in Hitteen camp. Through this project, around 500 targeted Palestinian refugees will benefit from the improved housing environment",0,0,0,0,no,"The project describes improvements in housing conditions, which is not directly related to the environment.",2936,2019,italy,Jordan / Housing rehabilitation in the Palestinian refugee camp of Hitteen,jordan,,asia,62932.76,56200.0,62932.76,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The overall objective of this project is to improve the housing conditions of the most vulnerable Palestinians refugees living in Hitteen camp. Through this project, around 500 targeted Palestinian refugees will benefit from the improved housing environment.",0,0,0,0,unclear,"Project aims to improve housing conditions for refugees, no explicit mention of environment",2937,2019,italy,Jordan / Housing rehabilitation in the Palestinian refugee camp of Hitteen,jordan,,asia,716672.0,640000.0,716672.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
The project is aimed at protecting the health of pastoral communities by improving access and coordination of human and animal health services,0,0,0,0,unclear,"The project description mentions improving access to health services for pastoral communities, but does not mention any environmental benefits or harm. Hence, it is unclear if this project is relevant to the environment.",2938,2019,italy,Kenya / One Health: a multidisciplinary approach to promote health and resilience of pastoral communities in northern Kenya,kenya,,africa,121240.28,108269.58,121240.28,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
The project is aimed at protecting the health of pastoral communities by improving access and coordination of human and animal health services,0,0,0,0,unclear,"The project description mentions improving access to health services for pastoral communities, but does not mention any environmental benefits or harm. Hence, it is unclear if this project is relevant to the environment.",9326,2020,italy,Kenya / One Health: a multidisciplinary approach to promote health and resilience of pastoral communities in northern Kenya,kenya,,africa,579090.84,507084.8,579090.84,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project supports the social and economic growth of 90 women, gathered in 2 cooperatives, dealing with camel milk preocessing. It aims to help this activity through 4 applied methodologies: economic and energetic sustainability through solar technology; socio-economic empowerment; process ownership and community governance. It aims also to develop a replicable business model that can contribute to sustainable livelihoods for semi-nomadic women throughout the Horn of Africa.",1,0,0,1,yes,"The project's description includes the use of solar technology for economic and energetic sustainability, which is an environmentally friendly method. The project also promotes socio-economic empowerment and process ownership for women in the Horn of Africa.",2939,2019,italy,Kenya / Clean energy for milk processing in Isiolo county,kenya,,africa,11198.0,10000.0,11198.0,Committed,Oda,cross-cutting,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False
"This project aims to ensure health and well-being for all the population regardless the age. It aims specifically to promote respect for the right to health of disabled prisoners in Kenya. It improves knowledge, practice and attitudes towards fundamental and health rights, physical and mental well-being in prisons and among the local community.It also aims at reducing and removing infrastructural and material obstacles to the enjoyment of the right to health of the target in the prisons involved.",0,0,0,0,yes,"The project aims to improve health and well-being for all, regardless of age, including disabled prisoners in Kenya. It promotes respect for fundamental health rights, physical and mental well-being, and removes obstacles to the enjoyment of the right to health in prisons. This project is promoting health and well-being, and therefore is relevant for the environment.",2940,2019,italy,"Kenya / Supervision, care and protection of prisoners with special needs with reference to the legislation of penitentiary institutions in kenya",kenya,,africa,10222.43,9128.8,10222.43,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Agricultural project to support the families of the town of Molo with the construction of a warehouse for agricultural supplies, housing for the caretaker, a well and related irrigation system and greenhouses",1,0,0,1,yes,"Project description includes the creation of a warehouse for agricultural supplies, housing for caretaker, a well for irrigation and greenhouses. All these elements are related to agriculture and nature preservation, thus it is a environmental project.",2941,2019,italy,Kenya / Agricultural project to support the families,kenya,,africa,80625.6,72000.0,80625.6,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
Housing support program for destitute families and cash for work activities aimed at local workers to encourage community development,0,0,0,0,unclear,"The project aims to provide housing support and create jobs for local workers, which can indirectly contribute to the environment through community development.",2942,2019,italy,Kenya / Safe Houses. Ensuring The Right Of Most Vulnerable Families To Live In Safe And Hygienie Conditions By Supporting The Local Economy,kenya,,africa,11574.25,10336.0,11574.25,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Creation of new dormitory structures with indoor bathrooms to prevent diseases and infections,0,0,0,0,no,"Dormitory structures with indoor bathrooms can help reduce the spread of diseases and infections, but it is not an environmental project. It is unrelated to environmental conservation, reduction of greenhouse gases, or sustainable use of natural resources.",2943,2019,italy,Kenya / Mochongoi Boys Dormitory - Fase 2,kenya,,africa,20156.4,18000.0,20156.4,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False
"The project envisages the enhancement of the production and distribution of corn in some places in the Diocese: Mbita, Rangwe, Rachuonyo and Dhiwa Sub Counties, through the training of farmers in the areas for the intensive production of sunflowers and for the transformation into seed oil and basic food products to improve the nutritional situation of the population.",1,0,0,1,unclear,"Project describes agricultural activities that can have environmental impacts but also benefits, more information needed to classify the impact accurately.",2944,2019,italy,Kenya / Corn production and processing for the agricultural communities of Homa-Bay,kenya,,africa,140511.38,125479.0,140511.38,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"Gandini Integrated project is to boost quality education and education for everybody in a rural area, through Feeding program, quality teaching personnel, sanitation and life skills",0,0,0,0,yes,Project is about improving education and sanitation in a rural area,2945,2019,italy,Kenya / GIP - Gandini Integrated Project. Supporto of Quality Education,kenya,,africa,2076.89,1854.7,2076.89,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Mother and child survival in Samburu central Hospital. The project aims to support capacity of the Health Facilities in terms of infrastructure, medical equipment, and training of Health Workers. ",0,0,0,0,unclear,"The project aims to improve medical infrastructure and staff training, which can include environmentally friendly practices, but the description does not provide enough detail to classify it as an environmental project.",2946,2019,italy,"Kenya / Mother and child samburu: increase and improve the quality of health services through the reinforcement of the maternity department, Maralal Hospital",kenya,,africa,3583.36,3200.0,3583.36,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Supply of n. 13 steel bins for collecting garbage,1,0,0,1,yes,"The project involves the supply of steel bins for collecting garbage, which can be associated with waste management and reduction. This is related to the environment.",2947,2019,italy,Kosovo / Supply of Garbage bins,kosovo,,europe,4597.9,4106.0,4597.9,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,False,True,False,False,False,False
"The protracted conflict in Syria has caused a huge influx of Syrian citizens to Lebanon. Due to an increased economic vulnerability, in 2019 the number of refugee households who moved into informal settlements increased by 7 compared to the previous year. As part of the Lebanon Crisis Response Plan, essential services within informal settlements are provided by humanitarian agencies. UNICEF is the leading agency for interventions in the Water sector, to which this Programme refer. In accordance with the LCRP, the Programme provides immediate assistance to vulnerable refugees living in Informal Settlements through water trucking, desludging services and community mobilization for improved WASH behavior.The Programme improve access to an adequate amount of drinking water and adequate sanitation facilities to 20,000 refugees living in informal settlements (48 men, 52 women, 58 children, 1 people with disabilities).The Programme is implemented by UNICEF in partnership with NGOs.The Programme contributes to the achievement of the strategic objective n. 2 of the LCRP 2017-2020: Provide immediate assistance to vulnerable populations",0,0,0,0,unclear,"The project describes provision of water and sanitation services to refugees in Lebanon, which does not have any direct impact on the environment. However, it is unclear if there are any environmental measures being implemented in the process of providing these services.",2948,2019,italy,Lebanon / Ensure children their family living in Informal Settlements access to the right to water and healthy environment.,lebanon,,asia,895840.0,800000.0,895840.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The initiative aims to improve the socio-economic conditions of the local population through the strengthening of planning capacities for socio-economic development in unions and municipality clusters and through the active collaboration between Ministry of Social Affairs (Meuse), municipality unions and civil society organisations.",0,0,0,0,unclear,"Project description discusses socio-economic development and collaboration between government entities and civil society, with no mention of environmental considerations.",2949,2019,italy,Lebanon / Support for local communities in Lebanon: improving planning for local socio-economic development,lebanon,,asia,537504.0,480000.0,537504.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Due to the increased economic vulnerability, in 2018 the number of Syrian refugee in Lebanon who has moved to informal settlements has increased. In accordance with the LCRP, the Project provides immediate assistance to vulnerable refugees living in Informal Settlements through water trucking, desludging services and community mobilization for improved WASH behavior.",0,0,0,0,no,"The project provides assistance for water trucking and desludging services for refugees in Lebanon, thus is more focused on humanitarian aid than having a direct impact on the environment.",2950,2019,italy,Lebanon / Ensure children their family living in Informal Settlements access to the right to water and healthy environment,lebanon,,asia,1119800.0,1000000.0,1119800.0,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
"In accordance with the LCRP, the Project strengthens the resilience of PRS in Lebanon through cash assistance and an improved access to secondary health care services within a network of contracted hospitals (including public health facilities).",0,0,0,0,no,"The project improves access to healthcare services, no explicit environmental benefits are mentioned.",2951,2019,italy,Lebanon / Strengthening the resilience of Palestine Refugees from Syria in Lebanon through cash assistance and health services.,lebanon,,asia,335940.0,300000.0,335940.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Technical assistance for infrastructure projects funded in grants and aid credit through the Council of Development and Reconstruction (CDR),0,0,0,0,unclear,The description does not provide specifics about the nature of the infrastructure projects.,2952,2019,italy,Lebanon / Technical assistance for the Council of Development and Reconstruction (CDR),lebanon,,asia,122904.77,109756.0,122904.77,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Technical assistance for infrastructure projects funded in grants and aid credit through the Council of Development and Reconstruction (CDR),0,0,0,0,unclear,The description does not provide specifics about the nature of the infrastructure projects.,9373,2020,italy,Lebanon / Technical assistance for the Council of Development and Reconstruction (CDR),lebanon,,asia,141608.0,124000.0,141608.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Supply of a 250 KVA generator for the Municipality of Alma Achaab,1,0,1,2,unclear,The project description does not provide information on the use of the generator or its impact on the environment.,2954,2019,italy,Lebanon / Supply of a 250 KVA generator,lebanon,,asia,27993.88,24999.0,27993.88,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False
Supply of a 250 KVA generator for the Municipality of Ayn Ibil,1,0,1,2,unclear,The project description does not provide information about the use of the generator or its environmental impact.,2955,2019,italy,Lebanon / Supply of a 250 KVA generator,lebanon,,asia,27995.0,25000.0,27995.0,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False
Supply and installation of 150 street lamps for public lighting in the municipality of Ma'Rub,1,0,1,2,unclear,"The project description includes the installation of street lamps, which could mean using electricity and energy. However, it's not clear if these street lamps are energy efficient or use renewable energy sources.",2956,2019,italy,Lebanon / Supply of 150 lamp post,lebanon,,asia,23045.48,20580.0,23045.48,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False
Provision of photovoltaic led street lighting in the municipality of Ayta Az Jabal,1,0,1,2,yes,"The project involves the use of solar energy for street lighting, which is a clean and renewable source of energy.",2957,2019,italy,Lebanon / Provision of photovoltaic led street lighting,lebanon,,asia,20416.19,18232.0,20416.19,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False
Construction of a solar-powered public lighting network in favor of Municipality of Tire,1,1,1,3,yes,"The project involves the use of solar power, which is a clean and renewable source of energy, and will replace traditional public lighting, reducing carbon emissions.",2959,2019,italy,Lebanon / Construction of a solar-powered public lighting network,lebanon,,asia,25898.73,23128.0,25898.73,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False
Supply of a 100 KVA generator for the new headquarters of the Shiite Mufti of Tire,1,0,1,2,unclear,"The project description refers to the supply of a generator for a new headquarters, but it does not provide information about the environmental impact of this action, such as the fuel type or energy efficiency of the generator.",2960,2019,italy,Lebanon / Supply of a 100 KVA generator,lebanon,,asia,13175.57,11766.0,13175.57,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False
Public lighting implementation works by supplying and installing LED lamps in the municipality of Brashit,1,0,1,2,yes,The project involves the use of LED lamps which are more energy-efficient than traditional lighting options.,2961,2019,italy,Lebanon / Supplying and installing of 90 LED lamps,lebanon,,asia,15945.95,14240.0,15945.95,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False
Purchase of a 250 KVA generator to power the drainage pump of an artesian well in the Municipality of Zibiqin,1,0,0,1,unclear,"The project involves the use of a generator for powering a pump, but it's unclear whether this generator is a renewable or clean energy source. Therefore, it's not possible to classify it as an environmental project or not at this point.",2962,2019,italy,Lebanon / Purchase of a 250 KVA generator,lebanon,,asia,27995.0,25000.0,27995.0,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Supply and installation of a water purifier in the Municipality of Marwahin,1,0,0,1,yes,"The project description explicitly states the installation of a water purifier, which can be considered an environmental project as it works towards providing clean and safe drinking water, thus benefiting the environment.",2963,2019,italy,Lebanon / Supply of water purifier,lebanon,,asia,13773.54,12300.0,13773.54,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Supply and installation of a water purifier in the Municipality of Mazara Ez Zalloutiye,1,0,0,1,unclear,"The project description includes the installation of a water purifier, which can have environmental benefits such as reducing water waste and energy consumption. However, the description is not clear on whether the purifier will use eco-friendly methods or materials, or if it will have any negative environmental impacts.",2964,2019,italy,Lebanon / Supply and installation of a water purifier,lebanon,,asia,12317.8,11000.0,12317.8,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Purchase of a 250 KVA generator to power the drainage pump of a water well in the Municipality of Tayr falsay,1,0,1,2,unclear,"The project involves the use of a generator to power a water pump, but it's unclear if this has any environmental impact. More information is needed to determine if it is an environmental project or not.",2965,2019,italy,Lebanon / Purchase of a 250 KVA generator,lebanon,,asia,27993.88,24999.0,27993.88,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Purchase of a 350 KVA generator to power the drainage pump of an artesian well in the Municipality of Rchaf,1,0,0,1,unclear,"The project involves the use of a generator to power a drainage pump, but it's not clear what kind of fuel the generator uses or if it has any environmental benefits. Therefore, I am classifying it as unclear.",2966,2019,italy,Lebanon / Purchase of a 350 KVA generator,lebanon,,asia,32810.14,29300.0,32810.14,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Expansion of the water network for the UoM of Tire,1,0,0,1,unclear,"The project involves expanding a water network, which can have environmental benefits. However, the description is not clear enough to classify it as an environmental project or green investment.",2967,2019,italy,Lebanon / Expansion of the water network,lebanon,,asia,54300.22,48491.0,54300.22,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Construction of a reservoir for the collection of water at Yaroun Municipality,1,0,0,1,yes,The project involves collecting water which can be beneficial for the environment.,2968,2019,italy,Lebanon / Construction of a water reservoir,lebanon,,asia,35959.02,32112.0,35959.02,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Renovation of a water tank in the Municipality of Jwayya,1,0,0,1,yes,"This project involves improving water infrastructure, which can have environmental benefits such as reducing water waste.",2969,2019,italy,Lebanon / Renovation of a water tank,lebanon,,asia,27099.16,24200.0,27099.16,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Supply of a water purifier at the secondary school of Chahor in the Municipality of Shhur,1,0,0,1,unclear,"The project involves the supply of a water purifier at a school, which can have environmental benefits such as reducing water waste and energy consumption. However, the description is not clear enough to classify it as a definitive environmental project.",2970,2019,italy,Lebanon / Supply of a water purifier,lebanon,,asia,8398.5,7500.0,8398.5,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Supply of materials for the construction of a photovoltaic system with solar pump for the operation of an artesian well in the Municipality of Rmeich,1,0,1,2,yes,"The project involves the construction of a photovoltaic system, which is a form of renewable energy. This will have a positive impact on the environment as it reduces the use of fossil fuels.",2971,2019,italy,Lebanon / Supply of materials for the construction of a photovoltaic system,lebanon,,asia,29212.22,26087.0,29212.22,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Assignment to a local architect for the supervision of works on the infrastructure projects for cimic needs for the technical translation of the architectural drawings of the project requests by local authorities,0,0,0,0,unclear,The project description does not provide enough information to determine its impact on the environment,2972,2019,italy,Lebanon / Hiring of a local architect,lebanon,,asia,18812.64,16800.0,18812.64,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Strengthening livelihoods, resilience and food security of Syrian refugees in the municipality of Bar Elias (Lebanon) and develop capacities (farmers' techniques, irrigation, agro-ecology ...)",0,0,0,0,yes,"The project is focused on supporting Syrian refugees in Lebanon through improving livelihoods, resilience and food security, and developing capacities in agriculture. It includes techniques and irrigation which can be related to agro-ecology, thus it's considered environment-related.",2973,2019,italy,"Lebanon / Dig In! Provide SupportAndBuild Capacity (Farmer Techniques, Irrigation, Agro-Ecology) For Syrian Refugees, Start Small-Scale Agriculture Productions.",lebanon,,asia,13437.6,12000.0,13437.6,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The project implements non-formal education campaigns aiming at promoting the rights of minor, with special focus on disabled minors. It also supports the renovation of public spaces and promotes environmental campaigns. Children beneficiaries will be involved in non –formal education activities supporting the rights of minors to grow in a healthy and conducive environment, promoting education about the correct care of public spaces and the positive use of natural resources.",1,1,0,2,yes,"The project involves non-formal education campaigns promoting the rights of minors, including disabled minors. It also supports the renovation of public spaces and promotes environmental campaigns. The project directly addresses environmental concerns, as it encourages children to care for public spaces and use natural resources responsibly. Therefore, this project is relevant for the environment.",2974,2019,italy,Lebanon / Enhancing the rights of minors: new opportunities of non - formal education in the South of Lebanon - AID 10585/CTM/LBN,lebanon,,asia,1112.19,993.2,1112.19,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Among the activity of the Archaeological Mission in Libya of the Urbino University in 2016 we made a training course of restoration and preservation of the archeological site in emergency. Four technicians from Libya attended the training course for two months in Italy.,1,0,0,1,unclear,"Project describes training in archaeological site preservation and restoration, with no mention of environmental impact.",2975,2019,italy,Libya / Archeological Mission at Cyrene and Tripoli,libya,,africa,3135.44,2800.0,3135.44,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
