additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
"This project aims at supporting Palestinian young people with disabilities and their families, with attention to gender issues and the promotion of full, inclusive and dignified employment. Some activities will be carried out like providing support to educational and speech therapy, promoting participation in extra-curricular activities, organizing university orientation sessions and workshops on soft skills, entrepreneurship and labour market guidance organised by the University of Bethlehem.",0,0,0,0,no,"The project's activities are focused on supporting and empowering people with disabilities, without any explicit environmental component.",3110,2019,italy,West Bank and Gaza Strip / Promotion of educational opportunities for young people with disabilities and vulnerable families,"palestine, state of",,asia,21585.71,19276.4,21585.71,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Support for children's right to health and universal access to pediatric health services in Palestine,0,0,0,0,no,"Project supports children's right to health, not directly related to environment",3111,2019,italy,West Bank and Gaza Strip /  Integrated Action To Support  The Palestinian Health System – 3 Rd Phase,"palestine, state of",,asia,35833.6,32000.0,35833.6,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The Italian Contribution aims to support ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen. ICRC will assist vulnerable households in maintaining their sources of food and income and support the empowerment of health-care services. With financial and technical support from the ICRC members of families separated by armed conflict, detention or migration will stay in touch through family-links and services provided by the National Society. Moreover, the ICRC will visit detainees in places of temporary and permanent detention in accordance with its standard procedures. ICRC will also work with the authorities to ensure detainees access to adequate nutrition and health care",0,0,0,0,no,"The project aims to support ICRC's assistance, protection, prevention and cooperation activities in Yemen, which includes maintaining sources of food and income for vulnerable households, empowerment of healthcare services, and visiting detainees in places of detention. The project does not mention any environmental aspects, such as reducing emissions or conserving natural resources.",3113,2019,italy,"Yemen / Contribution to ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen",yemen,,asia,671880.0,600000.0,671880.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The Italian Contribution aims to support ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen. ICRC will assist vulnerable households in maintaining their sources of food and income and support the empowerment of health-care services. With financial and technical support from the ICRC members of families separated by armed conflict, detention or migration will stay in touch through family-links and services provided by the National Society. Moreover, the ICRC will visit detainees in places of temporary and permanent detention in accordance with its standard procedures. ICRC will also work with the authorities to ensure detainees access to adequate nutrition and health care",0,0,0,0,no,"The project aims to support ICRC's assistance, protection, prevention and cooperation activities in Yemen, which includes maintaining sources of food and income for vulnerable households, empowerment of healthcare services, and visiting detainees in places of detention. The project does not mention any environmental aspects, such as reducing emissions or conserving natural resources.",3115,2019,italy,Afghanistan / Citizen's' Charter Afghanistan Project,afghanistan,,asia,1119800.0,1000000.0,1119800.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Stop the Violence project (STV) was started in April 2018 to face the terrible spread of Sexual and Gender Based Violence (SGBV) in the slums of Kanyama, South-West of Lusaka. STV offers free medical, psychological and legal assistance to women and girls, victims of sexual exploitation and abuses. In 2019 a One Stop Centre was opened at Kanyama Hospital, the only public hospital of the area, where victims can find a comprehensive support. The project also includes workshops and trainings in schools and churches to prevent SGBV and increase community awareness of the services provided. ",0,0,0,0,no,"The project focuses on providing medical, psychological, and legal assistance to victims of sexual exploitation and abuse, as well as raising awareness in the community about these issues. While this is an important and socially positive endeavor, it does not appear to have a significant impact on the environment.",3114,2019,italy,Zambia / STOP THE VIOLENCE,zambia,,africa,3583.36,3200.0,3583.36,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Stop the Violence project (STV) was started in April 2018 to face the terrible spread of Sexual and Gender Based Violence (SGBV) in the slums of Kanyama, South-West of Lusaka. STV offers free medical, psychological and legal assistance to women and girls, victims of sexual exploitation and abuses. In 2019 a One Stop Centre was opened at Kanyama Hospital, the only public hospital of the area, where victims can find a comprehensive support. The project also includes workshops and trainings in schools and churches to prevent SGBV and increase community awareness of the services provided. ",0,0,0,0,no,"The project focuses on providing medical, psychological, and legal assistance to victims of sexual exploitation and abuse, as well as raising awareness in the community about these issues. While this is an important and socially positive endeavor, it does not appear to have a significant impact on the environment.",3116,2019,italy,"Afghanistan / WASH for an Inclusive and Sustainable Development of the Population of the Provinces of Herat, Farah, Ghor and Bamyan",afghanistan,,asia,33594.0,30000.0,33594.0,Committed,Oda,mitigation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
Supply of computer equipment for the Herat Provincial Police Command to ameliorate counter terrorism strategy,0,0,0,0,no,The project involves supply of computer equipment for law enforcement purposes,8687,2020,italy,Afghanistan / Supply of computer equipment for local Police to enhance counter terrorism strategy,afghanistan,,asia,319.76,280.0,319.76,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Supply of a security camera system for the Herat Provincial Police Command - ANP (Afghan National Police) to improve counter terrorism strategy.,0,0,0,0,no,The project involves security supply for police force which does not have direct impact on the environment.,8689,2020,italy,Afghanistan / Supply of a security camera system for Police,afghanistan,,asia,1035.57,906.8,1035.57,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Supply of GPS and computer equipment to the Provincial Police Command of Farah to increase efficiency and operational scope in the context of conter terrorism activities.,0,0,0,0,no,"The project involves supply of GPS and computer equipment for law enforcement purposes, which is not primarily focused on environmental protection or sustainability.",8690,2020,italy,Afghanistan / Supply of GPS and computer equipment to local police force.,afghanistan,,asia,1041.96,912.4,1041.96,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Supply of furniture and computer equipment for the Afghanistan Woman Chamber of Commerce and Industry (AWCCI), Herat branch.",0,0,0,0,no,"The project includes the supply of furniture and computer equipment for an office. It does not involve any environmental activities, such as reducing pollution or conserving resources.",8691,2020,italy,Afghanistan / Supply of furniture and computer equipment,afghanistan,,asia,1368.12,1198.0,1368.12,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Promoting access to justice for detainees undergoing trial in 6 prisons in Congo and Madagascar, fighting against abusive preventive detention and implementing capacity building actions for the ACATs.",0,0,0,0,no,"The project aims to improve the justice system, which is not directly related to the environment.",8707,2020,italy,"Africa, regional / Ensuring access to justice for detainees awaiting trial in 6 prisons","congo, madagascar",,africa,9136.0,8000.0,9136.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
strengthening of the health system in Malawi,0,0,0,0,no,"The project aims to improve the health system, which is not directly related to the environment.",8716,2020,italy,"Africa, regional / Malawi, I care!",malawi,,africa,137040.0,120000.0,137040.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
The initiative seeks to confirm the principles endorsed in the UN Convention on the rights of persons with disabilities. The specific objective is to promote human rights of persons with disabilities through the strengthening of the National Council for Disability,0,1,0,1,no,The project promotes human rights for persons with disabilities but does not contain any environmental focus.,8720,2020,italy,"Africa, regional / Promotion of the rights of persons with disabilities in Egypt",egypt,,africa,377641.75,330684.54,377641.75,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"To contribute to the financial inclusion of women in the Africa where over 70% of women are excluded from access to credit, especially for business activities.",0,0,0,0,no,"Description focuses on financial inclusion of women in Africa, no explicit environmental focus",8725,2020,italy,"Africa, regional / Gender Equality Trust Fund (GETF)",,africa,africa,913600.0,800000.0,913600.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The initiative """"Albania - Facility for the management and monitoring of Country Program of the Italian Cooperation in Albania (FAGEM)"""", intends to make a contribution to the effective and timely implementation of current initiatives planned by the Italian Cooperation in Albania, making available the technical expertise and resources necessary to support the Albanian and AICS Tirana institutions in managing and monitoring the extensive portfolio of Italian Cooperation initiatives in the country.",0,0,0,0,no,"The project aims to support the management and monitoring of existing initiatives, but no new environmental impact is expected.",8736,2020,italy,Albania / Facility for the management and monitoring of the Country Program of the Italian Cooperation in Albania (FAGEM),albania,,europe,35082.24,30720.0,35082.24,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
"The initiative """"Albania - Facility for the management and monitoring of Country Program of the Italian Cooperation in Albania (FAGEM)"""", intends to make a contribution to the effective and timely implementation of current initiatives planned by the Italian Cooperation in Albania, making available the technical expertise and resources necessary to support the Albanian and AICS Tirana institutions in managing and monitoring the extensive portfolio of Italian Cooperation initiatives in the country.",0,0,0,0,no,"The project aims to support the management and monitoring of existing initiatives, but no new environmental impact is expected.",8741,2020,italy,Albania / Facility for the management and monitoring of the Country Program of the Italian Cooperation in Albania (FAGEM),albania,,europe,72292.77,63303.65,72292.77,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
The proposed interventions in this project are based on our experience working on Alternative Care (AC) and System Strengthening (SS) and consultations with state local and central actors bringing forward the development of child protection system in Albania,0,0,0,0,no,"Project description is focused on developing child protection system in Albania, with no mention or consideration of the environment.",8738,2020,italy,Albania / ALB_Child Protection 2019-2021,albania,,europe,50248.0,44000.0,50248.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
"The """"Product Technologies and Traceability in Albania - Pro.tec.t"""" project, propose by the Umbria region, intends to operare in the agro-food industry actions designed to raise food safety standards in Albania.",0,1,0,1,no,"The project is focused on improving food safety standards in the agro-food industry in Albania, which is not directly related to environmental preservation or improvement.",8742,2020,italy,Albania / Product Technologies and Traceability in Albania - Pro.tec.t,albania,,europe,81675.84,71520.0,81675.84,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False
"The corporate governance action plan (“CGAP”) will be discussed and agreed with the stakeholders, as a pre-condition for disbursement. The main objective of the present technical cooperation assignment is to assist the Government and the Company in duly implementing the corporate governance action plan.",0,0,0,0,no,"The project aims to implement a corporate governance action plan, with no mention of environmental considerations or impacts.",8745,2020,italy,Albania / Implementation of the Corporate Governance Action Plan (CGAP) for “Korporate Elektroenergjitike Shqiptare Sh.A”,albania,,europe,122194.0,107000.0,122194.0,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False
"Training courses in “Humanitarian international law” in favour of armed forces officers from Colombia and other countries, to contribute to peacebuilding and human rights in Latin America, by sharing the best practices in peace negotiations and respect of the rule of law.",0,0,0,0,no,"The project promotes peacebuilding and human rights through education, it does not contain environmental aspects in its description",8757,2020,italy,"America, regional / Peace and Security for Latin America",colombia,,latin america and the caribbean,13460.38,11786.68,13460.38,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"Italian contribution to OAS for the Inter-American Program of Judicial Facilitators, aiming at enhancing the member States’ judicial institutions, facilitating the access to justice for weak social groups and promoting alternative solutions of disputes.",0,0,0,0,no,"The project promotes access to justice and alternative dispute resolution, but it does not contain any environmental focus.",8760,2020,italy,"America, regional / Inter-American Program of Judicial Facilitators",,america,continent_unspecified,45680.0,40000.0,45680.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True
"Italian contribution to OAS for the Inter-American Program to Strengthen Democracy and Women’s Leadership,  aiming at strengthening women’s leadership in prevention and management of the different crisis sources in Latin American and Caribbean countries, against discriminations and gender violence that restrict women’s participation.",0,0,0,0,no,"The project aims to strengthen women's leadership and prevent discrimination and gender violence. While it does not have a direct environmental focus, it is still an important cause to support. Thus, I am classifying it as a project not relevant for the environment, but it is not clearly unrelated either.",8761,2020,italy,"America, regional / Inter-American Program to Strengthen Democracy and Women’s Leadership",,america,continent_unspecified,45680.0,40000.0,45680.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True
Capacity building activities aimed at favouring the implementation of innovative agricultural systems in order to meet the needs of the agrobusiness sector and consumers as well.,0,0,0,0,no,Project focuses on agricultural systems and agrobusiness sector,8766,2020,italy,"America, regional / Capacity Development for Agricultural Innovation Systems - CDAIS",,america,continent_unspecified,289499.74,253502.4,289499.74,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,False,False,False,False,False,True
Contribute to the defence of the human rights of indigenous peoples through the development of socio-political actions and digital technologies,0,0,0,0,no,"The project's focus is on human rights, not the environment.",8774,2020,italy,"Argentina / JUM - IT Skills, Youth and Indigenous Peoples Self-determination",argentina,,latin america and the caribbean,9009.47,7889.2,9009.47,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"Promoting and ensuring migrants, asylum seekers and refugees' rights through the implementation of a wide variety of counselling services (legal, psycological and social assistance).",0,0,0,0,no,"Project focuses on social, legal, and psychological support for migrants, asylum seekers, and refugees",8777,2020,italy,Argentina / CAREF Program - Promotion of the human rights of migrants,argentina,,latin america and the caribbean,18499.94,16199.6,18499.94,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Scholarship awarded by the University for Foreigners of Siena for an Italian Language Course of the duration of 1 month to eligible students from Azerbaijan,0,0,0,0,no,"The project involves educational exchange and language learning, which are not directly related to environmental protection or improvement.",8781,2020,italy,Azerbaijan / Italian Language Course Scholarship,azerbaijan,,asia,411.12,360.0,411.12,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Providing the lakeside municipality of So-Ava with a new ambulance pirogue, particularly addressed to pregnant women and sick people with mobility impairments who need to be hospitalized.",0,0,0,0,no,"The project is a transport improvement project which facilitates access to medical care for pregnant women and people with mobility impairments, but it does not seem to have a direct impact on the environment.",8789,2020,italy,Benin / Pirogue ambulance for Ganviè,benin,,africa,22543.08,19740.0,22543.08,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Carrying out a research on the factors that enhance phenomenon of sexual exploitation of minors and explain why many victims come from certain rural areas, in order to promote prevention measures.",0,0,0,0,no,"The project aims to research and prevent sexual exploitation of minors, but it does not contain any direct or indirect measures that can be classified as environmentally relevant.",8800,2020,italy,"Bolivia / Research on sexual exploitation of children, girls and adolescents","bolivia, plurinational state of",,latin america and the caribbean,2969.2,2600.0,2969.2,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Organizing a three-day-long international conference in La Paz to share ideas about the the issues of justice and gender equality.,0,0,0,0,no,The project aims to discuss issues of justice and gender equality but does not involve environmental action.,8801,2020,italy,Bolivia / Masculinities: Building a culture of peace,"bolivia, plurinational state of",,latin america and the caribbean,3197.6,2800.0,3197.6,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"BiH has faced a significant increase in the number of arrivals of refugees and migrants since January 2018. This has adversely affected management of both asylum and migration in a mixed movement context. In addition to limited reception capacities, registration with BiH authorities has been overwhelmed. In order to assist BiH, UNHCR facilitated an exchange of best practices with the Italian Ministry of Interior/asylum authorities in 2019 and 2020, and has now proposed an extension for 2021.",0,0,0,0,no,"The project aims to help manage migrant and refugee flows, which is not directly related to environmental protection.",8825,2020,italy,Bosnia And Herzegovina / Study visit of BiH MoS and SFA staff to Italy in 2021,bosnia and herzegovina,,europe,7137.96,6250.4,7137.96,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
The University of Padua granted 1000 scholarships to support the academic career of the best students in each study course.,0,0,0,0,no,"The project aims to support academic careers of students, with no mention of environmental benefits, negatives, or unclear language.",8836,2020,italy,"Brazil / Padua Excellence Scholarships """"Mille e una lode""""",brazil,,latin america and the caribbean,456.8,400.0,456.8,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,0,0,no,The project description does not mention any environmental aspect,8838,2020,italy,Brazil / PHD Scholarship,brazil,,latin america and the caribbean,2151.98,1884.4,2151.98,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,0,0,no,The project description does not mention any environmental aspect,8843,2020,italy,Brazil / PHD Scholarship,brazil,,latin america and the caribbean,8608.4,7538.0,8608.4,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,0,0,no,The project description does not mention any environmental aspect,8844,2020,italy,Brazil / PHD Scholarship,brazil,,latin america and the caribbean,8608.4,7538.0,8608.4,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,0,0,no,The project description does not mention any environmental aspect,8845,2020,italy,Brazil / PHD Scholarship,brazil,,latin america and the caribbean,8608.4,7538.0,8608.4,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,0,0,no,The project description does not mention any environmental aspect,8904,2020,italy,Cameroon / PHD Scholarship,cameroon,,africa,8608.4,7538.0,8608.4,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,0,0,no,The project description does not mention any environmental aspect,8905,2020,italy,Cameroon / PHD Scholarship,cameroon,,africa,8608.4,7538.0,8608.4,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,0,0,no,The project description does not mention any environmental aspect,9789,2020,italy,Viet Nam / PHD Scholarship,viet nam,,asia,2461.24,2155.2,2461.24,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Scholarships admitted to the Master's Degree Course in """"International Economics and Commerce (IEC)"""" awarded in 2020, with the aim of promoting inclusion and the right to education.",0,0,0,0,no,"The project promotes inclusion and education rights, but it does not contain any environmental aspects or goals.",8839,2020,italy,"Brazil / Scholarships admitted to the Master's Degree in """"International Economics and Commerce (IEC)"""" awarded in 2020",brazil,,latin america and the caribbean,2973.77,2604.0,2973.77,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"The initiative focuses on inclusive and sustanaible growth for human development. It will be implemented in the Jequitinhonha Valley; its beneficiaries will be 40 rural communities located in 4 different villages (Chapada do Norte, Minas Novas, Turmalina e Veredinha).",0,0,0,0,no,The project's description focuses on social growth and does not mention or imply any environmental aspects.,8851,2020,italy,Brazil / Exchange: Supporting and Cooperating for Family Farming and Organic Markets,brazil,,latin america and the caribbean,41112.0,36000.0,41112.0,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
"Project for human promotion in favor of minors and adolescents to raise awareness of human, social and political rights in relation to the provisions of state legislation through pedagogical and social activities and strengthening relationships with their families, school and community and citizenship awareness.",0,0,0,0,no,"Project promotes human rights and social activities, but no explicit environmental focus",8852,2020,italy,Brazil / Consolidation of human rights for children and adolescents in Brazil,brazil,,latin america and the caribbean,64883.42,56815.6,64883.42,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"Italian contribution to UNODC project aimed at enhancing Criminal Justice Response to Terrorism by Facilitating the Use and Admissibility as Evidence of Information and Material Collected from Conflict Zones by the Military in Burkina Faso
",0,0,0,0,no,Project focuses on enhancing criminal justice response to terrorism using military evidence from conflict zones in Burkina Faso,8874,2020,italy,Burkina Faso / Enhancing Criminal Justice Response to Terrorism by Facilitating Use and Admissibility as Evidence of Information and Material  Collected ,burkina faso,,africa,73088.0,64000.0,73088.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The present project intends to develop the model of taking charge of people with mental illness promoted by the local counterpart Center Notre Dame de l'Esperance. This center, promoted by the Diocese and managed by the Saint Camille BF Association, is th",0,0,0,0,no,"The project aims to develop a model for managing people with mental illness, with no mention of environmental impact. ",8880,2020,italy,Burkina Faso / Paths for social reintegration of people with mental illness in Burkina Faso,burkina faso,,africa,153961.21,134817.17,153961.21,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Funding is requested for the construction of a meeting room and training sessions for the promotion of peace and reconciliation of the young people of the Monseigneur Bernard Bududira technical high school.,0,0,0,0,no,"The project aims to promote peace and reconciliation among young people, with no mention of environment-related activities.",8888,2020,italy,Burundi / Meeting and training rooms for the promotion of peace and reconciliation,burundi,,africa,42235.27,36983.6,42235.27,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Fight against linguistic and community-based discrimination practices and support for networks and civil society organizations involved in the sector.,0,0,0,0,no,"Project description focuses on social and linguistic aspects, with no mention or implication of environmental impact.",8898,2020,italy,Cameroon / Engaging in the Contexts of Crisis - Cameroon,cameroon,,africa,5467.9,4788.0,5467.9,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Promoting food security in the Far North and East regions of Cameroon.,0,0,0,0,no,"The project aims to promote food security, which is not directly related to environmental protection.",8913,2020,italy,Cameroon / Support for improved food security for vurnerable population,cameroon,,africa,34260.0,30000.0,34260.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project aims at strengthening the civil society in social inclusion, protection and promotion of the rights of prisoners and ex-prisoners in Cameroon. The initiative aims to facilitate the reintegration of ex-prisoners into work and to sensitize civil",0,0,0,0,no,The project aims at social inclusion and protection/promotion of rights of prisoners and ex-prisoners in Cameroon. It does not contain any environmental aspects.,8919,2020,italy,Cameroon / A VIEW BEHIND THE PRISON. Civil Society strengthening for social inclusion and protection of prisoners' rights,cameroon,,africa,224270.53,196384.0,224270.53,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Promote the effective implementation of the peace agreement between the Colombian government and the FARC through support for local civil society organizations, the sending of neutral observers on monitoring missions, the production of communication materials.",0,0,0,0,no,"The project promotes peace and supports civil society organizations, but it does not contain any environmental focus.",8934,2020,italy,Colombia / Engaging in the Contexts of Crisis - Colombia,colombia,,latin america and the caribbean,3471.68,3040.0,3471.68,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Promoting the rights of minorities and providing training on reconciliation and peacebuilding.,0,0,0,0,no,"Project promotes peacebuilding and protection of minority rights, which are social and political aspects and not directly related to the environment.",8935,2020,italy,Colombia / Engaging in the Contexts of Crisis - Responding to emerging crises,colombia,,latin america and the caribbean,4933.44,4320.0,4933.44,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Purchase of metal detectors for the National Center against Explosive Artifacts and Mines (CENEM) in the framework of the support to the Colombian Government for the strengthening of the Integrated Action against Anti-personnel Mines-AICMA - Phase 5.,0,0,0,0,no,"The project aims to purchase metal detectors for a mine clearance center, which does not have a direct impact on the environment.",8940,2020,italy,Colombia / Supply of de-mining materials in Colombia,colombia,,latin america and the caribbean,6896.53,6038.99,6896.53,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"The project aims to identify victims of mines and other explosive devices in order to allow their physical and psychological rehabilitation, improve training processes and educational opportunities, implement micro-projects to strengthen socio-economic re",0,0,0,0,no,"The project aims to help victims of explosive devices, which is not directly related to the environment.",8954,2020,italy,"Colombia / Contribution to the programme OAS-AICMA """"Assistance to landmine survivors and their socio-economic reintegration in Colombia""""",colombia,,latin america and the caribbean,34260.0,30000.0,34260.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"Fighting against illiteracy and poverty of young people and women victims of war, in the western region of the Ivory Coast.",0,0,0,0,no,"The project aims to address social issues such as illiteracy and poverty, which are not directly related to the environment.",8966,2020,italy,Côte D'ivoire / Together with the boys and women of Duekoué! let's make small steps to fight against illiteracy and poverty,côte d'ivoire,,africa,17358.96,15200.49,17358.96,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"This project aims to provide an integrated package of services to unaccompanied children and young people in mobility, tailored to their specific needs, through restorative services such as reintegration, placement in alternative care, skills development, counselling and psychosocial support, etc. The project also includes a component focused on the economic empowerment of families, facilitating vulnerable families' linkages with social protection services and equipping them with the necessary knowledge and skills on positive parenting, positive discipline and gender equality to address issues of violence, abuse, exploitation, image building, self-esteem and confidence, etc. by working with a wide range of service providers, including the local institutions and law enforcement. ",0,0,0,0,no,"The project aims to provide services to unaccompanied children, young people and families. Although it includes a component focused on vulnerable families' economic empowerment, it does not contain any explicit measures towards the environment or green investments.",8970,2020,italy,Côte D'ivoire / Reducing the vulnerability of adolescents and youth on the move (Children on the Move III),côte d'ivoire,,africa,73088.0,64000.0,73088.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Construction of a building for school recovery and literacy for all young people, former mine workers or former child soldiers in Butembo, an area famous for fierce clashes due to the struggles for the extraction of coban, a mineral used for the smartphone production. The project includes a first floor with six classrooms for elementary school and offices, and a second floor with six classrooms and a hall for higher studies.",0,0,0,0,no,"The project is a school building construction project which will benefit former child soldiers and former mine workers. It does not have any direct impact on the environment, as it does not involve any environmentally-relevant actions such as reducing emissions or conserving natural resources.",8996,2020,italy,Democratic Republic Of The Congo / Construction of the new school recovery center of the S. Daniele Comboni Institute in Butembo,congo,,africa,106293.71,93076.8,106293.71,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project involves the construction of a center to carry out a program of rehabilitation, social reintegration and socio-educational development of child soldiers in Dungu in Congo. The children will be placed in a path of psycho-physical rehabilitation and school or professional reintegration and also in the family to which they belong. The center will be a family home where the children, around 205 a year, will be able to rediscover a dimension of care and affection.",0,0,0,0,no,"The project is focused on rehabilitation and social reintegration of child soldiers, with no mention of environmental impact",8997,2020,italy,Democratic Republic Of The Congo / JUVENAT Center - a concrete contribution for the reintegration of child soldiers and vulnerable boys,congo,,africa,150003.53,131351.6,150003.53,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Technical assistance expenses for field activities and coordination between donor and recipient countries. ,0,0,0,0,no,Description is not related to environmental impact,8999,2020,italy,"Developing countries, unspecified / Support to administration of developing countries' foreign aid",,"developing countries, unspecified",continent_unspecified,748.24,655.2,748.24,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True
Technical assistance expenses for field activities and coordination between donor and recipient countries. ,0,0,0,0,no,Description is not related to environmental impact,9004,2020,italy,"Developing countries, unspecified / Support to administration of developing countries' foreign aid",,"developing countries, unspecified",continent_unspecified,7222.32,6324.27,7222.32,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True
