additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"Contribution to the organization of the Ministerial Meeting of the Less Favored Countries Group held in Kinshasa on 26-28 September 2016, in preparation for COP 22 in Marrakech",0,0,40029,2016,italy,Democratic Republic of the Congo / Congo DR,congo,,africa,74944.63,67772.43,74944.63,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Coordination and organization of decentralized cooperation, with consequent rationalization of resources and increase the efficiency of cooperation on-site intervention.",1,0,2825,2019,italy,Burkina Faso / Membership coordination common for peace,burkina faso,africa,africa,895.84,800.0,895.84,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Coordination fund for technical assistance,0,0,40105,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Coordination fund for technical assistance,mozambique,,africa,97312.84,88000.0,97312.84,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Crafts and family gardens in the Paez Belalcazar Municipality ,0,0,40558,2016,italy,Colombia / Colombia / America (South America) / Crafts and family gardens in the Paez Belalcazar Municipality ,colombia,,latin america and the caribbean,14755.06,13343.0,14755.06,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Create a fish pond, site for composting, biogas plant",1,1,40210,2016,italy,"Other (South Sudan) / South Sudan / Africa (South of Sahara) / Cultivation of cereals, lifestock breeding, fish breeding in Lomin",sudan,,africa,13882.65,12554.08,13882.65,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creating 5 tubs for the production of fish,0,0,40611,2016,italy,Brazil / Brazil / America (South America) / Creating 5 tubs for the production of fish,brazil,,latin america and the caribbean,13547.5,12251.0,13547.5,Committed,ODA,cross-cutting,Grant,Other (Fishing),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creating a learning center on permaculture. Realization of educational courses children.,1,0,40496,2016,italy,Ecuador / Ecuador / America (South America) / Perma-culture for children,ecuador,,latin america and the caribbean,6953.44,6288.0,6953.44,Committed,ODA,cross-cutting,Grant,Other (Environmental education/ training),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Creating opportunities for training and education and enhancing community spaces and non-formal education services for children, including those with disabilities and refugees, in the Palestinian camps of Tyre and Sidon. Involving children in training courses on proper use of natural resources, on the role of sport and recreational activities, on social integration, health and safe nutrition",1,0,40499,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / Promoting children's rights and new opportunities of informal education in south Lebanon,lebanon,,asia,19904.9,18000.0,19904.9,Committed,ODA,mitigation,Grant,Other (Education Basic),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creating rapid employment opportunities to support vulnerable municipalities to face the economic and social consequences of the Syrian crisis (Phase III). The Programme contributes to mitigate the socio-economic consequences of the Syrian crisis on the m,1,0,9381,2020,italy,Lebanon / Resilience and social stability,lebanon,,asia,4568000.0,4000000.0,4568000.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creating vegetable gardens for rural communities in the municipalities of Nuevo Eden de San Juan and San Gerardo ,1,0,40433,2016,italy,El Salvador / El Salvador / America (North & Central America) / Rural communities,el salvador,,latin america and the caribbean,4433.93,4009.6,4433.93,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Creation and training (1 month) of a group of 5 story keepers; production of materials and translations. Workshop for students, starting with 3 schools (6 weeks, repetition every 2 months for a total of 4 workshops) and possibility to extend it to other schools.",1,0,3067,2019,italy,Syrian Arab Republic / Banos Film,syrian arab republic,,asia,2508.35,2240.0,2508.35,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of 25 farms for cultivation and breeding of animals to 25 families,1,0,40535,2016,italy,Ecuador / Ecuador / America (South America) / Creation of 25 farms for cultivation and breeding of animals to 25 families,ecuador,,latin america and the caribbean,14790.45,13375.0,14790.45,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Creation of a corn field to self-financing of ""Notre Dame du Bon Secours pour l'Enfance"" Association",0,0,40553,2016,italy,"Cameroon / Cameroon / Africa (South of Sahara) / ""Notre Dame du Bon Secours pour l'Enfance""",cameroon,,africa,5941.61,5373.0,5941.61,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of a mechanical workshop for the construction of infrastructure for cattle breeding in Senegal,1,0,3036,2019,italy,Senegal / Creation of a mechanical workshop for the construction of infrastructure for cattle breeding in Senegal,senegal,,africa,55990.0,50000.0,55990.0,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of a seed bank in the rural communities of the province of Talca,1,0,40492,2016,italy,Chile / Chile / America (South America) / Creation of a seed bank in the rural communities of the province of Talca,chile,,latin america and the caribbean,3941.17,3564.0,3941.17,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Creation of a solidarity-based agricultural cooperative whose earnings will help the community to meet its daily needs, with the aim of improving the productivity of the lands, especially the cultivation of tubers, marketing the products both locally and internationally, enhancing the technical, organizational and managerial level of the farmers, guaranteeing sufficient food and offering an employment outlet. Basic training courses are planned for the first year and advanced in the following years by surveyors and professional engineers and intended for the training of 30 young people in the area.",1,0,3020,2019,italy,Nigeria / A solidarity farm in Umudim Imezi Owa,nigeria,,africa,435408.47,388827.0,435408.47,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of a system of irrigation and cultivation of vegetables in 10 communities of the Municipality of Ckochas ,1,0,40503,2016,italy,Bolivia / Bolivia / America (South America) / Creation of a system of irrigation ,"bolivia, plurinational state of",,latin america and the caribbean,7707.62,6970.0,7707.62,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of a warehouse for cereals ,0,0,40599,2016,italy,Mali / Mali / Africa (South of Sahara) / Creation of a warehouse for cereals ,mali,,africa,12470.42,11277.0,12470.42,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Creation of an agricultural and breeding training center for young people who, having no access to university training, can take advantage of a professional training with the construction of buildings for theoretical training and farms for practical training.",1,0,2981,2019,italy,Madagascar / Agricultural training center and breeding practice,madagascar,,africa,173263.29,154727.0,173263.29,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of an agro-pastoral farm with an increase in animal and vegetable production accessible to all sections of the population,0,0,2787,2019,italy,Benin / Project Bel Avenir/ Probea,benin,,africa,11005.39,9828.0,11005.39,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of family gardens and construction of sheds for the chicken farm,1,0,40432,2016,italy,Ecuador / Ecuador / America (South America) / Creation of family gardens and construction of sheds for the chicken farm,ecuador,,latin america and the caribbean,5916.62,5350.4,5916.62,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of kitchen gardens for 80 families of the community Flor de Liz Joya y el Tigre,1,0,40442,2016,italy,El Salvador / El Salvador / America (North & Central America) / Flor de Liz Joya y el Tigre community,el salvador,,latin america and the caribbean,3969.48,3589.6,3969.48,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Creation of new dormitory structures with indoor bathrooms to prevent diseases and infections,1,0,2943,2019,italy,Kenya / Mochongoi Boys Dormitory - Fase 2,kenya,,africa,20156.4,18000.0,20156.4,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Cultivation of 200 acres of corn in favor of 100 families of Japon Nacional and Esperanza communities ,0,0,40449,2016,italy,Guatemala / Guatemala / America (North & Central America) / Japon Nacional and Esperanza communities ,guatemala,,latin america and the caribbean,7307.75,6608.4,7307.75,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Cultivation of corn and fruit trees in Cuilapa ,0,0,40447,2016,italy,Guatemala / Guatemala / America (North & Central America) / Cultivation of corn and fruit trees in Cuilapa ,guatemala,,latin america and the caribbean,6494.75,5873.2,6494.75,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Cultivation of corn and fruit trees in Guazacapán ,0,0,40448,2016,italy,Guatemala / Guatemala / America (North & Central America) / Cultivation of corn and fruit trees in Guazacapán ,guatemala,,latin america and the caribbean,6504.92,5882.4,6504.92,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Cultivation of fruit plants for farming families of Goias,0,0,40504,2016,italy,Brazil / Brazil / America (South America) / Cultivation of fruit plants for farming families of Goias,brazil,,latin america and the caribbean,4969.15,4493.6,4969.15,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Cultivation of fruit trees and vegetable patches for 30 peasant family in the Cuenca at Lake General Carrer,0,1,40444,2016,italy,Chile / Chile / America (South America) / Cultivation of fruit trees and vegetable patches for 30 peasant family in the Cuenca at Lake General Carrer,chile,,latin america and the caribbean,4355.63,3938.8,4355.63,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Culture and Nature as Strategic Resources for Territorial Development, Community Participation and Good Governance ",0,1,40214,2016,italy,"Mozambique / Mozambique / Africa (South of Sahara) / Culture and Nature as Strategic Resources for Territorial Development, Community Participation and Good Governance of the IBO District",mozambique,,africa,884.66,800.0,884.66,Committed,ODA,mitigation,Grant,Other (Tourism),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
DEBT FOR DEVELOPMENT SWAP AGREEMENT : TECHNICAL ASSISTANCE FUND - EXPERT FUND,0,0,40073,2016,italy,Peru / Peru / America (South America) / DEBT FOR DEVELOPMENT SWAP AGREEMENT : TECHNICAL ASSISTANCE FUND - EXPERT FUND,peru,,latin america and the caribbean,1238.02,1119.54,1238.02,Committed,ODA,cross-cutting,Grant,Other (Government and civil society general),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
DEVELOPMENT OF HEALTH SERVICES IN RURAL AREAS,0,0,40325,2016,italy,Kenya / Kenya / Africa (South of Sahara) / ENERGY AUTONOMY FOR URAFIKI MEDICAL CENTRE,kenya,,africa,33174.83,30000.0,33174.83,Committed,ODA,adaptation,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
DEVELOPMENT OF LOCAL SERVICES AND ACTIVE CITIZENSHIP-SOCIAL INCLUSION,0,0,40233,2016,italy,Turkey / Turkey / Europe / Local development models,turkey,,asia,13221.28,11956.0,13221.28,Committed,ODA,cross-cutting,Grant,Other (Population policies),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
DEVELOPMENT OF RURAL ECONOMY-FOOD SECURITY WITH PRODUCTION OF JATROPHA CURCAS AND MORINGA ,0,0,40174,2016,italy,Cameroon / Cameroon / Africa (South of Sahara) / Agro-Chain Cameroon,cameroon,,africa,13269.93,12000.0,13269.93,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
DEVELOPMENT OF RURAL ECONOMY-PRODUCTION OF BIO COCOA,0,0,40179,2016,italy,Peru / Peru / America (South America) / BIO COCOA FOR THE BUEN VIVIR,peru,,latin america and the caribbean,13269.93,12000.0,13269.93,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
DEVELOPMENT OF RURAL ECONOMY-PRODUCTION OF PEPPER,0,0,40178,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Kapezulu,mozambique,,africa,13269.93,12000.0,13269.93,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
DEVELOPMENT OF RURAL ECONOMY-VALORISATION OF LOCAL PRODUCTS,0,0,40177,2016,italy,Côte d'Ivoire / Côte d'Ivoire / Africa (South of Sahara) / Food security in bouakè province,côte d'ivoire,,africa,4671.02,4224.0,4671.02,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"DPC, through CIMA Foundation, supported the World Bank in the evaluation of the areas potentially flooded during the flash floods in Serbia of March 2016 and the results. The calculations were carried out with methods based on morphological analysis based on digital terrain model and do not use hydraulic modeling. The maps and the results are intended to provide a basic quantitative assessment of the areas that have potentially been affected by flash floods in March 2016",1,1,40117,2016,italy,Serbia / Serbia / Europe / Serbia Flash Floods Report on the estimation of potentially flooded areas in March 2016,serbia,,europe,55291.39,50000.0,55291.39,Committed,ODA,adaptation,Grant,Other (Disaster prevention and preparedness),False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"Definition of a strategic plan for the development of responsible and sustainable tourism in Jordan and the necessary needs in terms of human resources. Based on the international competitive scenario, the strategic plan could have positive effects in the development of tourism in Jordan in order to increase the contribution of the tourism sector to the economic, social and sustainable well-being of the country, by acting on fundamental levers such as technological and organizational innovation; ability to adapt to market transformations; enhancement of the territorial and cultural heritage; skills development; what favorable conditions to promote and support new entrepreneurial activities. The definition of this strategic plan will also make it possible to identify new professional profiles and technical skills required in a broader perspective of human resource development and employment in the tourism sector, focusing on cultural heritage, cultural and creative industries, sustainable cultural tourism and infrastructures cultural sources as sources of income generation and job creation, including at the community level, thus improving living conditions and promoting community-based economic growth. In particular, the Project will also aim to define new curricula for each profile by skill level, as well as to identify the qualifications framework to allow the recognition of skills and the transition to higher levels of technical education and training.",1,0,9276,2020,italy,Jordan / AID_12079_AICS Support the identification of human resources to promote the development of tourism,jordan,,asia,104032.09,91096.4,104032.09,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea -Improving traditional farming system to concur to food security in Kangwon Province,0,0,8987,2020,italy,Democratic People's Republic Of Korea / Food security in Kangwon Province,"korea, democratic people's republic of",,asia,90834.68,79540.0,90834.68,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Deployment, within the framework of the National Civil Protection System, of 1 CBRN team from the Italian Fire and Rescue Service equipped for air monitoring and identification of chemicals, registered as a module of the Union Civil Protection Mechanism, and subsequent donation of goods and equipments to the Fire Department of the City of Beirut",1,0,9369,2020,italy,Lebanon / National relief intervention in support of the Lebanese Authorities to combat the emergency in the city of Beirut caused by the explosions of 4.08.20,lebanon,,asia,69109.73,60516.4,69109.73,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Deployment, within the framework of the National Civil Protection System, of the Advanced Surgical Medical Post (EMT2) of the Piedmont Region, registered as a module within the European Civil Protection Pool of the Union Civil Protection Mechanism, and subsequent donation of the EMT2 to National Authorities and training to local health personnel",0,0,9451,2020,italy,"Mozambique / National relief intervention to the humanitarian crisis caused by the tropical cyclone """"Idai""""",mozambique,,africa,22193.63,19434.0,22193.63,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Develop the primary sector of Melela Bustani Farm, to encourage the growth of local population, to create employment and training opportunities, to develop resources and local products, through: maintenance and breeding improvement of 50 cows aiming at marketing milk with favourable prices and preparation of 425 acres of land for cultivation of corn, sunflower and other local products; jobs creation by hiring workers for cultivation; granting of land plots to women through simple forms of credit",1,0,40267,2016,italy,"Tanzania / Tanzania / Africa (South of Sahara) / Terra Viva in Melela Bustani -Morogoro, Tanzania",tanzania,,africa,17693.24,16000.0,17693.24,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Developing a common canteen for the schools of the district. Setting up of an educational area for children.,1,0,40651,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / Food security in the schools; Ouagadougou,burkina faso,,africa,27391.35,24770.0,27391.35,Committed,ODA,adaptation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Developing a modular kit for the self-construction of a economically competitive Solar Photovoltaic Adaptive Refrigeration Kit (SPARK) powered by photovoltaic solar energy and easily assembled in the context of Africa's tropical range.,1,1,40716,2016,italy,Cameroon / Cameroon / Africa (South of Sahara) / Solar Photovoltaic Adaptable Refrigeration Kit SPARK,cameroon,,africa,5346.42,4834.77,5346.42,Committed,ODA,cross-cutting,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Developing a network of youth organizations challenging ethnic stereotypes and promoting a shared vision for peace.,1,0,9183,2020,italy,"Georgia / Youth for Peace, 900.508",georgia,,asia,42296.03,37036.8,42296.03,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Developing the Zonas de Reserva Campesina (ZRC) as a peace building tool and as an active political space in rural Colombia,0,0,40636,2016,italy,"Colombia / Colombia / America (South America) / Zonas de Reserva Campesina, an agricultural initiative aimed at peace and social justice",colombia,,latin america and the caribbean,9998.45,9041.6,9998.45,Committed,ODA,cross-cutting,Grant,Other (Government and civil society general),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Developing water basins, improving spring water capacity, providing drinkable water to rural families. The project is particularly aimed at helping women charged with carrying water for long distances",1,1,40550,2016,italy,"Ecuador / Ecuador / America (South America) / Improving access to water and food sovereignty among poor families in two Guachanamá communities, Paltas area, Loja province",ecuador,,latin america and the caribbean,63032.18,57000.0,63032.18,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Development of  climate change adaptation measures, increasing and promotion of renewable energy, transfer of technology and know-how. Governments of: Antigua e Barbuda, Bahamas, Belize, Barbados, Dominica, Grenada, Guyana, Haiti, Giamaica, St. Kitts e Nevis, St. Vincent e Grenadines, St. Lucia, Suriname, Trinidad e Tobago",0,1,42438,2015,italy,"Asia Pacific / CARICOM area - Cooperation on Climate Change Vulnerability, Adaptation and Mitigation","haiti, guyana, dominica, belize, saint vincent and the grenadines, grenada, suriname, barbados, bahamas",,latin america and the caribbean,6655574.04,6000000.0,6655574.04,Committed,ODA,cross-cutting,Grant,Energy,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Development of Sheep Farming as a Resilience Action of the Young Generations of Sidi Bouzid, To Fight Poverty and Migration",0,0,3088,2019,italy,"Tunisia / Development of Sheep Farming as a Resilience Action of the Young Generations of Sidi Bouzid, To Fight Poverty and Migration",tunisia,,africa,67188.0,60000.0,67188.0,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Development of a water supply and treatment systems for unnerved villages through solar power plants,1,1,40467,2016,italy,Madagascar / Madagascar / Africa (South of Sahara) / Solar power plants for drinking water,madagascar,,africa,21054.96,19040.0,21054.96,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Development of climate change adaptation and mitigation measures to climate change. ,1,1,42432,2015,italy,Tunisia / Tunisia - MoU,tunisia,,africa,16084303.94,14500000.0,16084303.94,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Development of climate change adaptation measures and mesurement of impacts on vulnerable sectors.,1,1,42449,2015,italy,Lesotho / Lesotho - MoU,lesotho,,africa,5546311.7,5000000.0,5546311.7,Committed,ODA,adaptation,Grant,Other (Environmental policy and administrative management),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Development of electricity distribution in the northern and southern West Bank,0,0,40352,2016,italy,Other (West Bank and Gaza) / West Bank and Gaza Strip / Asia (Middle East Asia) / Development of electricity distribution in the northern and southern West Bank,,"asia, middle east",asia,7675936.75,6941349.6,7675936.75,Committed,ODA,cross-cutting,Concessional loan,Energy,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Development of horticultural production activities by women who live in the villages of Niamey in Niger.,1,0,40545,2016,italy,Niger / Niger / Africa (South of Sahara) / The sun for water - 2016-2017,niger,,africa,9608.54,8689.0,9608.54,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Development of integrated sustainable agricultural production systems to improve agricultural production capacity and support the food security and sovereignty of the families involved.,1,1,9076,2020,italy,Ecuador / Implementing 40 integrated sustainable agricultural production systems to improve the living conditions of 40 farmer families,ecuador,,latin america and the caribbean,52455.49,45933.0,52455.49,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Development of rural economy-valorisation of local production,0,0,40182,2016,italy,India / India / Asia (South & Central Asia) / BANANA4GROWTH,india,,asia,39809.8,36000.0,39809.8,Committed,ODA,cross-cutting,Grant,Other (Bio-diversity),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Digging of 30 wells for the three pastoral regions of Mbandaka, Boende and Bikoro",0,0,40373,2016,italy,"Democratic Republic of the Congo / Democratic Republic of the Congo / Africa (South of Sahara) / Digging of 30 wells for the three pastoral regions of Mbandaka, Boende and Bikoro",congo,,africa,108194.18,97840.0,108194.18,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Digging of a well in Nzasa,0,0,40405,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / Digging of a well in Nzasa,tanzania,,africa,14899.48,13473.6,14899.48,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Digging of borewell with motor pump and water tanks for water storage in order to provide drinking water to more than 7.500 people, in particular the students of two schools in Vadaveekam village and the village people. These people are suffering for lacking of drinking water. Students need clean water in order to avoid getting ill due to unsafe water and to be able to attend school regularly. Village people also need water for agriculture activities. 
",1,1,9216,2020,italy,"India / Construction of a borewell for the school and village people of Vadaveekam, India ",india,,asia,10691.4,9362.0,10691.4,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Direct beneficiaries of the project will be 200 local agricultural producers,0,0,39112,2017,italy,"Bolivia / Improvement of the working and living conditions of the rural communities of two municipalities in the province of Tarija, increase in agro-ecological production of Amaranto, contrast of agro-chemical practices, national certification of quality of the product put on the market, sale and processing of product. ","bolivia, plurinational state of",,latin america and the caribbean,223059.75,197854.0,223059.75,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Distributing protection devices against contagion from Covid 19 and training on labor rights for women employed in the so-called maquiladoras (industrial plants controlled by foreign business for the production of export components); Distributing food aid kits to those who have been made redundant due to the pandemic-related economic crysis and raising awareness about labor rights.,1,0,9507,2020,italy,Nicaragua / Strengthening women's labour rights,nicaragua,,latin america and the caribbean,2969.2,2600.0,2969.2,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Distribution of PPE (personal protective equipment) for COVID-19 prevention (PaO and Danu); Support to agriculture and livelihoods for vulnerable families during the lean season (PaO and Danu). Geogrphical areas: 15 villages in Hopong, Hsiseng and Pin Laung Municipalities - PaO Self-Governing Area and 15 villages in Pidaya and Ywangan Municipalities - Danu Self-Governing Area - Southern Shan State",1,0,9478,2020,italy,"Myanmar / Prevention, Education and Nutrition in support of the PaO and Danu ethnic minorities affected by the Covid-19 emergency",myanmar,,asia,5851.61,5124.0,5851.61,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Distribution of high energy efficiency stoves to 2750 families in 5 Pemba districts. Raising awareness about importance of improved usage of firewood and coal in order to reduce harmful fumes to health and deforestation that is already in progress in the area. ,1,1,40205,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Low consumption stoves: promotion and distribution process in Pemba city ,mozambique,,africa,19904.9,18000.0,19904.9,Committed,ODA,mitigation,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Distribution of hygiene products; Provision of drinking water; Awareness-raising campaign on the prevention of viral spread in the context of covid-19 pandemic.,1,1,9703,2020,italy,Syrian Arab Republic / Syria: Emergency within an emergency. Anti-Covid- 19 measures to protect the resident and displaced population of Idlib province,syrian arab republic,,asia,22571.63,19765.0,22571.63,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Distribution of medicine, food and goods for the prevention of malaria, diarrhoea and malnutrition of women and children at risk in Sofala Province - Mozambique",0,0,9444,2020,italy,"Mozambique / Medical assistance, hygene, water and food security in the districts of Búzi and Chibabava to the vulnerable population hit by the Cyclone Idai",mozambique,,africa,13704.0,12000.0,13704.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Distribution of seeds; Distribution of kits containing latex gloves, masks and alcohol gel; Distribution of kits containing chlorine, disinfectant, soap, wipes and dispensers in the fight against covid-19 pandemic.",1,0,8806,2020,italy,Bolivia / Guardians of the Forest: Supporting resilience against the Covid-19 pandemic,"bolivia, plurinational state of",,latin america and the caribbean,6503.0,5694.4,6503.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Distribution of vitamines and drugs to mothers and children who suffer undernutrition. ,0,0,39348,2017,italy,Mozambique / Technical training for cattle breeders and development of a network between 3 local cooperatives in order to guarantee a high level of food security. ,mozambique,,africa,15422.77,13680.0,15422.77,Committed,ODA,cross-cutting,Grant,Other (Health basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
