additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
Breeding of small ruminants,0,0,40574,2016,italy,Chad / Chad / Africa (South of Sahara) / Breeding of small ruminants,chad,,africa,10681.19,9659.0,10681.19,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Brotherhood village is a development and integration project focused on the realisation and management of a Children's Shelter with a nursery and a primary school annexed to it. The main objective is the integration of vulnerable children who live in the area, with particular regard to orphans and abandoned children because of disadvantaged economic situations. ",1,0,8907,2020,italy,Cameroon / Brotherhood village,cameroon,,africa,9786.48,8569.6,9786.48,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Building 15 new wells in the urban areas of Koboko, Maracha, Nebbi and Zombo districts, where lots of refugees from South Sudan have settled; improving the sanitation system to adapt it to a higher number of people",1,0,3094,2019,italy,"Uganda / Water for Refugees and Host Communities in West Ugandan Nile, Koboko, Maracha, Nebbi E Zombo Districts, Maracha, Nebbi E Zombo Districts",uganda,,africa,55094.16,49200.0,55094.16,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Building 5 community wells, equipped with hand pumps to allow access to drinking water",1,0,2983,2019,italy,Mali / A Sea Of Water,mali,,africa,22396.0,20000.0,22396.0,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building a borehole for drinking water; Purchasing a medicinal plant grinding mill for the pharmaceutical and phytotherapy laboratory; Purchasing equipment to implement the hospital bakery in the context of covid-19 pandemic.,1,0,8790,2020,italy,"Benin / Drinking water, phytotherapies and bread against Covid-19. Aid for the """"Saint Jean de Dieu"""" Hospital (FATEBENEFRATELLI) in Tanguieta",benin,,africa,28279.35,24763.0,28279.35,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building a pigsty to promote income-generating activities,1,0,40583,2016,italy,Indonesia / Indonesia / Asia (Far East Asia) / Porker Seeding Center,indonesia,,asia,33174.83,30000.0,33174.83,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building a shed for sheep farming for the rural communities of the High Andes,0,0,40571,2016,italy,Peru / Peru / America (South America) / Building a shed for sheep farming for the rural communities of the High Andes,peru,,latin america and the caribbean,15531.35,14045.0,15531.35,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building and equipping a science laboratory for the students attending the Kimoriot Secondary School.,1,0,9297,2020,italy,Kenya / Kimoriot science laboratory.,kenya,,africa,9136.0,8000.0,9136.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building four farms for breeding of hens,1,0,40572,2016,italy,Dominican Republic / Dominican Republic / America (North & Central America) / Building four farms for breeding of hens,dominican republic,,latin america and the caribbean,14550.48,13158.0,14550.48,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building latrines for rural communities and training the local population about hygiene and sanitation.,1,0,9191,2020,italy,Ghana / Provision of Micro Flush Latrine for Deprived Rural Communities,ghana,,africa,36483.76,31947.25,36483.76,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building of Community  wells in Monte Santo,0,0,40407,2016,italy,Brazil / Brazil / America (South America) / Building of Community  wells in Monte Santo,brazil,,latin america and the caribbean,10236.87,9257.2,10236.87,Committed,ODA,mitigation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building of a small-scale drinking water  stocking site and distribution system,1,0,3018,2019,italy,Niger / Aman Iman,niger,,africa,27995.0,25000.0,27995.0,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Building of tanks and accessories for the Tilapia-fish-farm on the Atauro-Island,0,0,40307,2016,italy,Timor-Leste / Timor-Leste / Asia (Far East Asia) / Tilapia-fish-farm ,timor-leste,,asia,24881.12,22500.0,24881.12,Committed,ODA,cross-cutting,Grant,Other (Fishing),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Building on the results of Phase I of the “Supporting the development of Industrial zones in Lebanon” project, the proposed project phase II aims at continuing the assistance to the country and the Ministry of Industry in establishing modern industrial zones in Lebanon.  The project will be tasked to:

- Provide technical assistance and advisory support to the Government of Lebanon in implementing the master-plans designed during phase I of the project and in deploying a National Industrial Zones development strategy,

- Enhance the capacity of the government of Lebanon on industrial zones development and management.

The Ministry of Industry of Lebanon has identified the development of modern business infrastructures as a catalyst to improve the country’s business environment and investment climate, as well as the competitiveness of its enterprises. Industrial zones can indeed offer a combination of developed land, infrastructure and services that allow businesses the long-term assurance to conduct operations in a stable and conducive environment.",1,0,1443,2018,italy,Lebanon / Supporting the development of Industrial zones in Lebanon,lebanon,,asia,236127.51,200000.0,236127.51,Committed,ODA,cross-cutting,Grant,Industry,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Building organisational capacities of partners of Diakonie Austria  on the following topics: Gender equality, Gender and disability,  Economic empowerment of women with disabilities, Measures for engagement of men on gender equality",0,0,9005,2020,italy,"Developing countries, unspecified / GADIP Capacity building for Gender and Disability in Practice",,"developing countries, unspecified",continent_unspecified,9136.0,8000.0,9136.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"Building the territorial peace of three communities (Florencia, Popayan, Mocoa). Objective: to train indigenous people to dialogue and peace through:  1) social mobilization,  2) parenting and coexistence,  3) public activities.",1,0,8952,2020,italy,"Colombia / Somos Paz - Building territorial peace between the communities of Caqueta, Cauca and Putumayo",colombia,,latin america and the caribbean,28272.27,24756.8,28272.27,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Buying a Jeep for the farmers' associations,0,0,40551,2016,italy,Democratic Republic of the Congo / Democratic Republic of the Congo / Africa (South of Sahara) / Diocese of Kole - Farmers' associations,congo,,africa,67754.06,61270.0,67754.06,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Buying a rice sheller in favor of the communities in Bansang,0,0,40564,2016,italy,Gambia / Gambia / Africa (South of Sahara) / Buying a rice sheller in favor of the communities in Bansang,gambia,,africa,7758.49,7016.0,7758.49,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Buying a rice sheller in favor of the communities in Berending,0,0,40563,2016,italy,Gambia / Gambia / Africa (South of Sahara) / Buying a rice sheller in favor of the communities in Berending,gambia,,africa,7758.49,7016.0,7758.49,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"CBM is implementing a project that aims at increasing incomes of persons with disabilities through organic farming practices and making lasting and sustainable changes in the way participant pop ulations including persons with disabilities do agriculture. The project is pro posed for 500 villages iof Madhya Pradesh. The intervent ion is expected to cover 36,000 rural community members including more than 12,0 00 persons with disabilities and their family members. ",1,0,9213,2020,italy,India / Disability Inclusive Livelihood Initiative - Ujjawal - II,india,,asia,8467.97,7415.04,8467.97,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
CIHEAM (International Center for Advanced Mediterranean Agronomic Studies) - Mandatory contribution 2020,0,0,9056,2020,italy,"Developing countries, unspecified / CIHEAM - OBBLIGATORY CONTRIBUTION 2020",,"developing countries, unspecified",continent_unspecified,8410269.28,7364509.0,8410269.28,Committed,Oda,cross-cutting,Grant,Not Applicable,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
CIHEAM - International Centre for Advanced Mediterranean Agronomic Studies -  Voluntary Contribution 2020,0,0,9050,2020,italy,"Developing countries, unspecified / CIHEAM Voluntary Contribution 2020",,"developing countries, unspecified",continent_unspecified,982120.0,860000.0,982120.0,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
CUBA PROGRAM TO SUPPORT THE INTEGRAL RECOVERY PROCES OF THE HISTORIC CENTER OF HAVANA,0,0,2872,2019,italy,Cuba / CUBA PROGRAM TO SUPPORT THE INTEGRAL RECOVERY PROCES OF THE HISTORIC CENTER OF HAVANA - LOCAL FUND,cuba,,latin america and the caribbean,8801.63,7860.0,8801.63,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Call for applications for PhD positions with full fellowships – n. 1 position assigned,0,0,8838,2020,italy,Brazil / PHD Scholarship,brazil,,latin america and the caribbean,2151.98,1884.4,2151.98,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Capacity building and socio-economic empowerment for women living in Casamance through the start-up of a food processing center.,1,0,9615,2020,italy,Senegal / Keeping on Casamango: food security and women empowerment,senegal,,africa,46822.69,41000.6,46822.69,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Capacity building of the Diocese of Kibunngo through the exploitation of its agricultural goods,0,0,40429,2016,italy,Rwanda / Rwanda / Africa (South of Sahara) / Capacity building of the Diocese of Kibunngo through the exploitation of its agricultural goods,rwanda,,africa,151135.24,136671.6,151135.24,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Capacity building on market system and new cultivation technologies for fruit crop producers,0,0,40487,2016,italy,Armenia / Armenia / Asia (South & Central Asia) / New cultivation techniques,armenia,,asia,36860.92,33333.33,36860.92,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Carrying out a research on the factors that enhance phenomenon of sexual exploitation of minors and explain why many victims come from certain rural areas, in order to promote prevention measures.",1,0,8800,2020,italy,"Bolivia / Research on sexual exploitation of children, girls and adolescents","bolivia, plurinational state of",,latin america and the caribbean,2969.2,2600.0,2969.2,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Carrying out activities going from social healthcare and nutrition, to raising awareness about prevention in the villages, to the health services in the hospital",1,0,40660,2016,italy,Madagascar / Madagascar / Africa (South of Sahara) / Social healthcare and nutrition: from the awareness raising on prevention in the villages to the healthcare in the hospital,madagascar,,africa,18450.51,16684.8,18450.51,Committed,ODA,cross-cutting,Grant,Other (Health General),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Center that works to combat hunger, illiteracy and promote personal hygiene: equipment and Photovoltaic plant",1,0,40425,2016,italy,Haiti / Haiti / America (North & Central America) / Photovoltaic plant and equipment,haiti,,latin america and the caribbean,80080.5,72416.8,80080.5,Committed,ODA,mitigation,Grant,Energy,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Chicken farm, production of eggs and sale of excess",0,0,40576,2016,italy,"Colombia / Colombia / America (South America) / Chicken farm, production of eggs and sale of excess",colombia,,latin america and the caribbean,14887.76,13463.0,14887.76,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Child malnutrition prevention and nutritional education to villages in County Cueibet, South Sudan",0,0,40330,2016,italy,Nepal / Nepal / Asia (South & Central Asia) / Child malnutrition prevention and nutritional education,nepal,,asia,7519.63,6800.0,7519.63,Committed,ODA,cross-cutting,Grant,Other (Health Basic),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Coalition for Epidemic Preparedness Innovations (CEPI) Voluntary Contribution to COVID-19 program,0,0,9053,2020,italy,"Developing countries, unspecified / CEPI Voluntary Contribution to COVID-19 program",,"developing countries, unspecified",continent_unspecified,1827200.0,1600000.0,1827200.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"Combating malnutrition in the Province of Oudalan - through the organized dissemination of poultry farming among women and young people; through the construction of a """"Permanent Vocational Training Centre"""" for poultry producers and a space for breeding and weaning chicks.",1,0,8862,2020,italy,Burkina Faso / Combating malnutrition in the Urban Municipality of Gorom Gorom,burkina faso,,africa,9136.0,8000.0,9136.0,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Combating the isolation and poverty of the elderly through home care, training and economic empowerment in the Lomé area.",1,0,9733,2020,italy,Togo / EEPT - RAPA relationship of assistance to the elderly,togo,,africa,14160.8,12400.0,14160.8,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Community alliance for social inclusion and the prevention of the violence in the department of Chalatenango. The project aims to prevent and reduce youth violence by increasing the opportunities for access and participation of children in the formal and ,1,0,9094,2020,italy,El Salvador / ESCUELAS Y COMUNIDADES INCLUSIVAS PARA OTRA CIUDADANIA,el salvador,,latin america and the caribbean,584910.11,512180.48,584910.11,Committed,Oda,adaptation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Completion of drilling hall; Construction of building for administrative area; Adaptation of equipment for cooking cane juice. Associated with COPROPAP, Pichincha Province, Ecuador 2nd phase",0,0,9072,2020,italy,Ecuador / Creation of a community factory for the production of organic panela and increase of the socio-economic impact for the small producers of Pacto,ecuador,,latin america and the caribbean,27499.36,24080.0,27499.36,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Conceived as part of  UNODC program PROMIS, this project implements new action to strengthen international judicial cooperation to combat trafficking of illegal migrants. It envisages two main actions intended to support awareness and capacity building on combating human trafficking and the smuggling of migrants in accordance with the international standards on human rights and strengthen the framework for coordination between relevant structures at national and regional level.",1,0,9529,2020,italy,Niger / Combating human trafficking and the smuggling of migrants,niger,,africa,114200.0,100000.0,114200.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Conference ""Marine Protected Areas: an Urgent Imperative""",0,0,40031,2016,italy,Other (Developing countries) / Ocean Sanctuary Alliance,,developing countries,continent_unspecified,11058.28,10000.0,11058.28,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
Conference of Energy Ministers of Mediterranean Union Countries,0,0,40744,2016,italy,"Other (Developing countries) / Developing countries, unspecified /  / Conference of Energy Ministers of Mediterranean  Union Countries",,"mediterranean, developing countries, unspecified",continent_unspecified,731.62,661.6,731.62,Committed,ODA,mitigation,Grant,Energy,False,False,False,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"Confirmation for the second year of scholarships awarded to students from developing countries for the Master's Degree Course in """"Biomedical Engineering"""", with the aim of promoting inclusion and the right to study.",1,0,9552,2020,italy,"Pakistan / Scholarships for Master's Degree in  """"Biomedical Engineering"""" confirmed in 2020 for the second year",pakistan,,asia,2973.77,2604.0,2973.77,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Confirmation for the second year of scholarships awarded to students from developing countries for the Master's Degree Course in """"Food and Beverage Innovation and Management"""", with the aim of promoting inclusion and the right to study.",1,0,8902,2020,italy,"Cameroon / Scholarships for Master's Degree in  """"Food and Beverage Innovation and Management"""" confirmed in 2020 for the second year",cameroon,,africa,7434.42,6510.0,7434.42,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Consolidate a social and solidarity economy business incubator, strengthen five rural women's cooperatives in the marketing of their products and finance two start-ups for young people. Majel Bel Abbes and Cité El Khadra (Governorate of Kasserine) - Thalla Swassaya and El Gallel (Governorate of Sidi Bouzid)",1,0,9744,2020,italy,Tunisia / Turbo 2 - Tunisian Rural Business Opportunities - Project for local development and strengthening of women's rural economy,tunisia,,africa,17912.96,15685.6,17912.96,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Consolidation of Cooperativa Agraria KampuPiyawi. Primary processing and sale of farmed fish and cocoa in the local markets.,0,0,40547,2016,italy,Peru / Peru / America (South America) / Promotion of biological chains of fish and cocoa at the indigenous population Shawi Peruvian Amazonia,peru,,latin america and the caribbean,27159.13,24560.0,27159.13,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Consolidation of leadership training for 28 youth leaders: peer to peer youth camps, 5 Mini-projects for schools, 5 Awareness campaigns for the population",1,0,9485,2020,italy,Myanmar / Rays of Youth Myanmar 2020,myanmar,,asia,16124.58,14119.6,16124.58,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Consolidation of the Indigenous-Intercultural System of Learning and Studies """"Abya Yala"""" of CIDECI-Unitierra and strengthening of technical and political training of young indigenous men and women of Chiapas.",0,0,9414,2020,italy,Mexico / Intercultural Indigenous System of Learning and Study,mexico,,latin america and the caribbean,9106.25,7973.95,9106.25,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construct storing facilities for fodder for the women's association in Zawara,1,0,40240,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / Construct storing facilities for fodder for the women's association,burkina faso,,africa,21243.84,19210.8,21243.84,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construct tubs for Tilapia fish breeding,0,0,40309,2016,italy,Timor-Leste / Timor-Leste / Asia (Far East Asia) / Construct tubs for Tilapia fish breeding,timor-leste,,asia,25544.62,23100.0,25544.62,Committed,ODA,cross-cutting,Grant,Other (Fishing),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of 15 health services for the Community of Palacio Real ,0,0,40531,2016,italy,Ecuador / Ecuador / America (South America) / Construction of 15 health services for the Community of Palacio Real ,ecuador,,latin america and the caribbean,10078.51,9114.0,10078.51,Committed,ODA,adaptation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of 3 community sheds for the start of poultry production in favor of 45 peasant families who live on the slopes of a mountainous region of difficult living conditions and difficult to reach. The indigenous population, the result of the mestizaje between indigenous, negro and mestizos, lives in wooden and stone houses with plastic covers and participates in the project with labor and easily obtainable raw material. The start of this activity will allow a minimum of profit and trade with neighboring groups.",0,0,2865,2019,italy,Colombia / Implementation of community sheds for the production of chickens for fattening,colombia,,latin america and the caribbean,13158.77,11751.0,13158.77,Committed,Oda,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of 50 latrines for the communities of Cayacoa, La Escalera, Pérez y El Toro",0,0,40530,2016,italy,"Dominican Republic / Dominican Republic / America (North & Central America) / Construction of 50 latrines for the communities of Cayacoa, La Escalera, Pérez y El Toro",dominican republic,,latin america and the caribbean,25332.3,22908.0,25332.3,Committed,ODA,adaptation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of 6 wells in the context of covid-19 pandemic.,0,0,9393,2020,italy,Madagascar / Water supply by digging wells,madagascar,,africa,9592.8,8400.0,9592.8,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a building for school recovery and literacy for all young people, former mine workers or former child soldiers in Butembo, an area famous for fierce clashes due to the struggles for the extraction of coban, a mineral used for the smartphone production. The project includes a first floor with six classrooms for elementary school and offices, and a second floor with six classrooms and a hall for higher studies.",0,0,8996,2020,italy,Democratic Republic Of The Congo / Construction of the new school recovery center of the S. Daniele Comboni Institute in Butembo,congo,,africa,106293.71,93076.8,106293.71,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a cheese factory with the purchase of livestock and equipment in Karemeno / Mugunda, Central Province",0,0,40292,2016,italy,Kenya / Kenya / Africa (South of Sahara) / Cheese factory with the purchase of livestock and equipment,kenya,,africa,49762.25,45000.0,49762.25,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a handicraft well with a cistern,0,0,40437,2016,italy,Brazil / Brazil / America (South America) / Construction of a handicraft well with a cistern,brazil,,latin america and the caribbean,9612.74,8692.8,9612.74,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a health building for infectious diseases in the context of covid-19 pandemic.,0,0,9728,2020,italy,Thailand / Construction of a sanitary environment for infectious diseases,thailand,,asia,15198.65,13308.8,15198.65,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a modern hospital that provides quality performance and universal standards. The hospital, including equipment, includes the departments of: gynecology and maternity, surgery, administrative block, reception and health education room, special services (ENT, orthopedics, kinesitherapy), general services (intensive care, pharmacy , emergency medicine), laboratories, internal medicine, images, private rooms, incinerator, emergency shed, morgue, toilets.",0,0,8998,2020,italy,Democratic Republic Of The Congo / Support for the construction of the Saint Luc Hospital in Dungu,congo,,africa,1403648.19,1229114.0,1403648.19,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a new drinking water supply system at Tezu Tibetan refugee camp in Arunachal Pradesh.,1,0,9227,2020,italy,India / Water Supply Project at Tezu Tibetan refugee camp in Arunachal Pradesh,india,,asia,30834.0,27000.0,30834.0,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a photovoltaic plant for the College Mwanga in Goma, Kongo",1,0,40203,2016,italy,"Congo / Congo / Africa (South of Sahara) / Photovoltaic plant for the College Mwanga in Goma, Kongo",congo,,africa,33174.83,30000.0,33174.83,Committed,ODA,mitigation,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a primary school through the use of local materials; laterite bricks. Contribute to the social and economic strengthening of rural communities through the development of appropriate technologies. Sustainable construction of public infrastructure. Opportunity to develop new skills locally. Train young people in the villages in the use of laterite and perenniate its use as a local and sustainable building material.,1,0,2984,2019,italy,Mali / Elementary school in a rural setting. Village of Fiah. ,mali,,africa,5285.46,4720.0,5285.46,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a primary school; Construction of two wells,0,0,9115,2020,italy,Ethiopia / Local primary school in Sciasciamanna,ethiopia,,africa,27179.6,23800.0,27179.6,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a processing site for cocoa beans for small scale farmers of the cooperatives Uoprocae and Eloy Alfaro,0,0,40304,2016,italy,Ecuador / Ecuador / America (South America) / Construction of a processing site for cocoa beans for small scale farmers of the cooperatives ,ecuador,,latin america and the caribbean,53606.55,48476.4,53606.55,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a sewage system and clarification plant,1,0,40285,2016,italy,Pakistan / Pakistan / Asia (South & Central Asia) / Construction of a sewage system and clarification plant,pakistan,,asia,21208.23,19178.6,21208.23,Committed,ODA,adaptation,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a tank for storage and treatment of water for the community of Angoman,1,0,40404,2016,italy,Haiti / Haiti / America (North & Central America) / Construction of a tank for storage and treatment of water,haiti,,latin america and the caribbean,4750.19,4295.6,4750.19,Committed,ODA,mitigation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a tank for the storage and the treatment of water,0,0,40435,2016,italy,Haiti / Haiti / America (North & Central America) / Technical school of agriculture of Papaye,haiti,,latin america and the caribbean,5284.97,4779.2,5284.97,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a tank for the storage and the treatment of water in the Dondiègue community ,0,0,40417,2016,italy,Haiti / Haiti / America (North & Central America) / Dondiègue community ,haiti,,latin america and the caribbean,4871.39,4405.2,4871.39,Committed,ODA,mitigation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a warehouse for the storage and sale of grains and legumes produced by farmers in the area Mitunguu, Meru region",0,0,40293,2016,italy,Kenya / Kenya / Africa (South of Sahara) / A warehouse for the storage and sale of grains and legumes produced by farmers,kenya,,africa,27645.69,25000.0,27645.69,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a wastewater treatment plant and a wastewater conveyance system including a period of operation and maintenance,0,0,40356,2016,italy,"Lebanon / Lebanon / Asia (Middle East Asia) / Anjar, Madjel Anjar and Qabb Elias Wastewater Project",lebanon,,asia,11719609.86,10598043.2,11719609.86,Committed,ODA,adaptation,Concessional loan,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a water system for the community of Kapeatindi in the Isoso area,0,0,40408,2016,italy,Bolivia / Bolivia / America (South America) / Construction of a water system,"bolivia, plurinational state of",,latin america and the caribbean,7769.1,7025.6,7769.1,Committed,ODA,mitigation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a well,0,0,3025,2019,italy,Peru / Water supply,peru,,latin america and the caribbean,9816.17,8766.0,9816.17,Committed,Oda,adaptation,Grant,Water And Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
